Categoria_CID;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
"A36   Difteria";-;-;-;-;1;-;-;7;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;9
"A37   Coqueluche";-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;3;-;-;-;-;-;1;1;8
"A39   Infecc meningogocica";1;1;3;1;8;-;1;8;-;15;2;1;6;2;-;8;12;-;22;51;7;11;12;2;1;4;6;185
"A40   Septicemia estreptococica";1;-;-;-;7;1;-;14;2;15;3;22;4;4;1;7;17;1;6;29;2;7;5;-;-;2;-;150
"A41   Outr septicemias";178;24;167;14;516;73;44;622;225;793;331;486;790;280;146;1257;2755;121;4432;3271;700;560;1032;111;237;234;55;19454
"A42   Actinomicose";-;-;-;-;4;-;-;1;-;1;1;1;5;-;-;1;7;-;-;3;2;-;1;-;-;1;-;28
"A43   Nocardiose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7;-;-;-;-;1;-;-;9
"A44   Bartonelose";-;-;-;-;1;-;-;-;-;7;-;4;-;-;-;-;3;-;1;3;1;1;-;-;2;-;-;23
"A46   Erisipela";11;4;13;-;102;3;6;48;33;162;57;44;92;29;57;121;169;61;305;459;46;37;59;20;34;45;18;2035
"A48   Outr doenc bacter NCOP";6;1;-;-;73;1;1;25;9;23;3;5;18;3;1;14;29;13;7;81;22;9;3;2;19;5;-;373
"A49   Infecc bacter de localiz NE";-;-;-;-;9;1;-;4;1;7;1;11;4;2;-;28;19;2;20;33;14;6;27;1;3;3;-;196
"A50   Sifilis congen";3;2;8;2;13;1;2;7;4;8;6;4;31;5;-;17;21;5;51;35;6;3;13;3;5;6;3;264
"A51   Sifilis precoce";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;1;-;-;4
"A52   Sifilis tard";-;-;4;-;1;-;-;1;-;5;-;-;-;-;-;6;6;1;4;13;2;1;2;2;1;4;-;53
"A53   Outr form e as NE da sifilis";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;-;3;-;2;2;-;2;-;-;13
"A54   Infecc gonococica";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;1;-;-;-;-;-;5
"A56   Outr infecc p/clamidias transm p/via sexual";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;4
"A57   Cancro mole";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"A59   Tricomoniase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"A60   Infecc anogenitais p/virus do herpes";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"A63   Outr doenc de transm predom sexual NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2
"A64   Doenc sexualmente transm NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2
"A66   Bouba";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;3
"A68   Febres recorrentes";-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"A69   Outr infecc p/espiroquetas";-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;1;2;-;-;1;-;-;-;-;-;-;-;7
"A70   Infecc causadas p/Clamidia psittaci";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;3
"A77   Febre maculosa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;1;33;-;-;-;-;-;-;-;52
"A79   Outr rickettsioses";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"A81   Infecc p/virus atipicos sist nervoso central";-;-;-;-;1;-;-;2;2;2;-;1;2;-;-;8;10;2;5;33;6;4;10;2;2;7;1;100
"A82   Raiva";-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;11
"A83   Encefalite p/virus transm p/mosquitos";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A85   Outr encefalites virais NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;4;-;-;-;-;-;-;7
"A86   Encefalite viral NE";-;1;5;1;11;1;3;10;2;12;2;2;10;3;4;11;20;2;22;49;10;7;11;2;2;10;2;215
"A87   Meningite viral";-;-;-;-;2;1;-;1;-;1;4;1;2;1;-;2;6;-;5;14;14;4;2;1;1;-;-;62
"A88   Outr infecc virais sist nervoso central NCOP";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A89   Infecc virais NE do sist nervoso central";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;1;-;-;5
"A90   Dengue";-;1;1;-;-;-;-;2;-;-;3;8;-;1;-;3;6;2;4;8;1;-;-;3;4;64;-;111
"A91   Febre hemorragica dev virus do dengue";-;-;2;-;1;-;2;4;2;6;13;4;2;1;-;3;15;17;11;3;-;-;-;2;4;34;2;128
"A92   Outr febres virais transm p/mosquitos";-;1;-;-;4;-;-;3;4;10;2;2;3;1;-;-;3;-;17;-;-;-;-;1;5;1;-;57
"A93   Outr febres p/virus transm p/artropodes NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"A94   Febre viral transm p/artropodes NE";-;-;-;-;-;-;-;-;-;5;-;-;-;-;1;-;17;-;4;6;-;-;-;-;-;-;-;33
"A95   Febre amarela";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;95;-;79;78;1;1;-;-;-;-;1;257
"A96   Febre hemorragica p/arenavirus";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"A98   Outr febres hemorragicas p/virus NCOP";1;-;-;-;-;-;-;2;-;2;-;-;-;-;-;-;6;1;-;10;5;2;3;-;1;1;2;36
"A99   Febres hemorragicas virais NE";-;-;1;-;2;-;1;-;-;3;-;-;1;4;-;1;45;1;2;35;1;-;-;-;-;-;-;97
"B00   Infecc p/virus do herpes";-;-;-;-;4;-;-;-;2;2;-;-;2;-;-;3;12;3;5;29;9;12;8;2;2;-;1;96
"B01   Varicela";2;1;3;1;2;-;-;7;2;6;-;1;4;-;1;1;2;-;1;2;-;1;3;1;2;3;-;46
"B02   Herpes zoster";-;-;-;-;3;-;-;-;-;5;1;-;5;2;1;6;15;2;10;35;13;5;8;1;1;5;5;123
"B05   Sarampo";-;-;4;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"B06   Rubeola";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;4
"B08   Outr inf virais lesoes pele membr muc NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2
"B09   Inf viral NE caract p/lesoes pele membr muco";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"B15   Hepatite aguda A";-;-;-;-;-;-;1;2;-;2;-;-;2;-;-;1;4;2;2;6;-;1;3;1;-;1;-;28
"B16   Hepatite aguda B";4;11;24;4;11;-;2;11;4;5;3;2;17;4;1;9;18;3;19;25;8;7;19;6;5;6;2;230
"B17   Outr hepatites virais agudas";6;21;5;3;4;-;1;1;-;7;2;9;3;5;-;8;13;1;28;47;2;9;24;4;6;2;-;211
"B18   Hepatite viral cronica";31;19;48;5;42;1;2;18;8;14;8;17;46;9;7;72;74;29;167;573;94;45;290;26;20;46;17;1728
"B19   Hepatite viral NE";2;1;9;-;13;-;-;-;3;3;1;6;2;6;3;12;20;2;17;62;3;5;7;2;1;4;2;186
"B20   Doenc p/HIV result doenc infecc e parasit";46;26;219;30;480;21;46;301;91;246;102;95;421;117;76;381;493;164;1185;1561;378;306;792;105;155;233;78;8148
"B21   Doenc p/HIV result em neopl malig";2;-;11;1;10;1;-;4;4;18;7;3;11;4;4;8;21;4;31;74;15;18;46;5;2;13;7;324
"B22   Doenc p/HIV result em outr doenc espec";8;2;36;1;70;1;5;33;15;23;17;15;47;8;6;64;90;15;126;235;58;38;117;23;29;21;11;1114
"B23   Doenc p/HIV result em outr doenc";1;2;4;-;15;-;-;9;-;-;2;1;2;2;3;5;11;5;22;9;5;6;14;2;5;1;1;127
"B24   Doenc p/HIV NE";16;-;33;8;112;14;7;58;19;39;16;15;49;9;13;122;106;14;205;213;91;71;196;16;30;22;15;1509
"B25   Doenc p/citomegalovirus";-;1;1;-;2;-;-;-;1;-;-;-;4;-;-;1;7;1;4;6;3;1;-;-;1;7;-;40
"B26   Caxumba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;1;-;-;-;-;-;-;5
"B27   Mononucleose infecc";-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;5
"B33   Outr doenc p/virus NCOP";-;-;1;5;1;-;-;-;-;1;-;-;3;-;-;7;-;2;5;3;-;-;-;-;1;1;1;31
"B34   Doenc p/virus de localiz NE";-;-;1;-;2;-;1;2;3;5;3;1;8;1;1;7;4;1;4;3;1;-;-;1;4;3;-;56
"B37   Candidiase";-;-;1;3;2;1;-;3;-;3;3;1;3;2;1;7;7;-;5;22;-;1;3;-;-;2;-;70
"B38   Coccidioidomicose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2
"B39   Histoplasmose";1;-;-;-;-;-;-;-;1;1;-;1;-;-;-;1;1;-;3;2;2;-;2;2;-;1;-;18
"B40   Blastomicose";2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;-;10;5;-;-;-;3;-;-;24
"B41   Paracoccidioidomicose";2;1;-;1;3;1;1;1;-;-;1;-;-;-;-;1;10;3;3;16;10;1;1;4;5;2;-;67
"B42   Esporotricose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;-;-;-;4
"B43   Cromomicose e abscesso feomicotico";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"B44   Aspergilose";1;-;-;-;-;-;-;1;-;1;1;-;1;1;-;1;9;-;5;13;3;-;4;-;1;3;1;46
"B45   Criptococose";2;2;6;-;5;-;2;1;-;5;2;-;7;-;1;7;14;2;4;30;6;5;11;1;6;3;-;122
"B46   Zigomicose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;-;1;1;-;-;-;-;-;-;-;7
"B47   Micetoma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"B48   Outr micoses NCOP";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"B49   Micose NE";-;-;-;-;1;-;-;-;1;2;-;-;-;-;2;3;8;-;3;7;1;-;1;-;-;-;-;29
"B50   Malaria p/Plasmodium falciparum";-;-;2;1;2;-;-;2;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2;-;-;1;1;13
"B51   Malaria p/Plasmodium vivax";3;-;9;5;2;2;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;23
"B52   Malaria p/Plasmodium malariae";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"B53   Outr form malaria conf p/exames parasitolog";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"B54   Malaria NE";-;-;5;1;-;1;-;3;1;-;-;-;-;-;-;-;1;-;1;3;-;-;-;-;1;-;1;18
"B55   Leishmaniose";1;-;-;2;53;-;17;64;15;41;7;4;13;12;5;28;46;1;-;15;3;-;-;14;7;8;3;359
"B56   Tripanossomiase africana";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"B57   Doenc de Chagas";16;1;2;-;24;-;47;10;69;58;25;33;112;79;23;613;1005;5;26;910;173;6;29;46;57;763;259;4391
"B58   Toxoplasmose";-;1;1;1;4;-;-;5;1;-;1;-;3;2;1;1;4;-;14;12;3;3;2;-;-;-;-;59
"B59   Pneumocistose";2;-;3;2;3;1;-;7;-;3;-;-;2;1;1;4;13;-;15;17;6;5;4;-;1;2;-;92
"B65   Esquistossomose";1;-;-;-;-;1;2;6;-;4;6;12;167;58;20;67;90;9;14;73;2;-;-;2;-;5;3;542
"B66   Outr infestacoes p/trematodeos";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"B67   Equinococose";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3
"B68   Infestacao p/Taenia";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B69   Cisticercose";-;-;-;-;1;-;-;-;2;12;2;2;1;-;1;8;7;2;1;17;9;1;7;-;1;6;1;81
"B71   Outr infestacoes p/cestoides";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B72   Dracontiase";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B74   Filariose";-;-;3;-;2;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;8
"B77   Ascaridiase";-;-;1;-;2;-;-;-;-;1;-;-;1;1;-;-;1;-;-;1;-;-;-;-;-;-;-;8
"B78   Estrongiloidiase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;2;-;-;-;-;-;-;7
"B81   Outr helmintiases intestinais NCOP";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B82   Parasitose intestinal NE";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"B83   Outr helmintiases";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2
"B86   Escabiose";-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;1;-;-;-;-;-;5
"B87   Miiase";-;-;-;-;3;-;-;3;6;-;-;1;2;1;1;3;3;1;3;10;3;3;3;-;1;2;-;49
"B88   Outr infestacoes";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"B89   Doenc parasit NE";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B90   Sequelas de tuberc";2;3;9;3;7;1;2;9;7;19;10;2;41;3;4;30;20;14;20;45;18;6;16;2;2;2;2;299
"B91   Sequelas de poliomielite";-;-;1;-;1;-;1;1;-;4;2;-;3;-;-;6;8;1;3;13;7;4;7;2;3;6;-;73
"B92   Sequelas de hanseniase";-;-;1;-;5;-;2;6;2;4;-;-;1;-;1;4;3;-;1;5;1;-;-;1;-;3;-;40
"B94   Sequelas de outr doenc infecc e parasit e NE";-;1;2;-;1;-;2;3;-;8;-;-;1;-;1;5;10;-;4;33;7;4;5;1;1;8;2;99
"B99   Doenc infecc outr e as NE";-;-;1;-;-;-;-;-;5;1;4;1;41;10;2;5;13;1;27;5;-;-;1;1;1;1;1;121
"C00   Neopl malig do labio";1;-;1;-;1;-;-;1;-;2;1;1;2;2;-;6;6;1;8;18;4;5;6;1;2;3;1;73
"C01   Neopl malig da base da lingua";5;-;9;-;16;-;2;5;6;23;5;5;29;10;3;33;85;25;32;154;45;16;61;6;7;4;10;596
"C02   Neopl malig outr partes e NE da lingua";10;2;9;2;29;2;7;15;11;54;19;23;71;15;9;85;147;52;141;410;64;47;73;15;16;33;18;1379
"C03   Neopl malig da gengiva";-;-;-;-;3;-;-;1;1;2;-;2;2;-;-;3;2;3;5;14;1;-;-;1;-;1;-;41
"C04   Neopl malig do assoalho da boca";1;-;1;-;7;-;1;3;1;10;5;1;8;5;-;20;26;9;24;75;17;11;17;3;3;6;6;260
"C05   Neopl malig do palato";1;-;5;1;8;2;3;3;3;10;8;4;17;6;4;18;27;11;23;74;20;8;28;8;8;5;5;310
"C06   Neopl malig outr partes e partes NE da boca";3;3;14;1;16;4;8;16;18;55;36;44;47;14;18;101;145;29;99;234;86;34;79;8;10;52;13;1187
"C07   Neopl malig da gland parotida";2;-;-;-;3;1;3;5;3;18;2;2;11;4;1;13;37;7;32;97;14;10;32;2;4;6;2;311
"C08   Neopl malig outr gland saliv maiores e NE";-;-;1;-;3;-;-;1;-;5;3;2;3;1;2;6;11;3;8;23;8;4;7;2;1;2;-;96
"C09   Neopl malig da amigdala";-;-;3;2;2;-;1;1;1;3;-;1;10;1;1;14;11;9;17;45;16;7;10;4;3;6;3;171
"C10   Neopl malig da orofaringe";13;2;14;6;25;1;11;27;6;68;40;31;76;27;14;135;290;49;198;477;132;85;139;33;26;87;19;2031
"C11   Neopl malig da nasofaringe";1;3;6;-;11;-;3;10;9;18;6;8;15;5;6;23;30;9;41;77;23;18;10;3;7;10;4;356
"C12   Neopl malig do seio piriforme";-;-;-;-;-;-;-;3;-;1;1;-;1;-;-;3;10;2;3;26;10;1;3;-;-;4;1;69
"C13   Neopl malig da hipofaringe";2;-;1;3;11;-;3;3;2;15;1;4;8;11;-;27;52;19;32;124;26;19;35;8;5;15;5;431
"C14   Neop mal out loc mal def labio cav oral far";8;1;7;1;18;1;4;16;17;28;14;10;37;7;10;71;112;19;47;223;88;35;49;11;20;33;10;897
"C15   Neopl malig do esofago";34;15;58;8;110;12;35;84;93;347;134;110;301;74;55;606;1289;269;667;1813;700;376;945;128;99;220;67;8649
"C16   Neopl malig do estomago";112;55;342;23;578;52;64;309;140;833;270;292;581;127;103;844;1463;332;1236;3553;1044;640;907;192;165;340;165;14762
"C17   Neopl malig do intestino delgado";7;3;13;2;28;1;5;13;9;64;18;25;55;9;6;55;102;20;75;285;78;39;99;23;17;40;17;1108
"C18   Neopl malig do colon";53;16;80;16;156;6;39;100;73;301;137;85;351;53;77;482;1057;269;1634;3865;814;438;1273;149;137;324;210;12195
"C19   Neopl malig da juncao retossigmoide";7;2;9;3;27;1;5;24;13;57;29;17;61;7;10;83;204;20;130;415;68;57;95;19;12;50;12;1437
"C20   Neopl malig do reto";35;8;69;10;99;10;18;64;59;179;61;73;162;46;38;296;537;114;640;1511;346;172;442;84;58;164;75;5370
"C21   Neopl malig do anus e do canal anal";6;-;17;-;35;1;2;33;5;27;9;10;22;9;7;32;53;13;49;142;32;35;36;4;10;7;8;604
"C22   Neopl malig figado vias biliares intra-hepat";71;51;156;26;280;20;69;289;172;413;132;200;553;163;75;714;983;174;859;2590;650;366;893;138;121;287;106;10551
"C23   Neopl malig da vesicula biliar";7;5;17;7;36;4;9;28;14;77;28;40;103;19;14;55;119;36;107;248;49;46;87;14;14;35;17;1235
"C24   Neopl malig outr partes e NE vias biliares";14;9;31;3;47;2;12;48;48;104;52;42;119;29;20;179;239;40;240;655;135;114;237;36;30;82;38;2605
"C25   Neopl malig do pancreas";49;14;94;12;192;15;49;137;110;395;169;156;409;79;67;560;1077;209;1139;3138;745;477;1119;150;136;290;112;11099
"C26   Neopl malig outr mal def aparelho digestivo";22;6;38;4;51;3;22;50;49;132;47;84;128;23;46;260;616;64;503;1125;328;176;304;33;51;173;34;4372
"C30   Neopl malig cavidade nasal e do ouvido medio";2;-;3;-;8;1;3;2;1;7;3;2;8;4;-;4;11;2;9;25;3;2;10;1;2;2;1;116
"C31   Neopl malig dos seios da face";3;1;1;-;6;-;-;6;1;7;3;2;8;1;1;15;17;4;16;41;10;6;15;5;1;3;-;173
"C32   Neopl malig da laringe";28;11;66;7;75;8;27;56;52;196;59;98;168;38;34;269;518;97;413;1159;310;141;347;62;72;112;32;4455
"C33   Neopl malig da traqueia";2;-;1;-;1;1;-;2;1;3;-;2;6;1;-;8;10;-;5;24;6;2;7;2;2;2;-;88
"C34   Neopl malig dos bronquios e dos pulmoes";133;99;317;49;538;26;133;566;341;1229;388;438;1030;287;167;1171;2613;501;2818;7170;1808;1449;3470;355;325;895;316;28632
"C37   Neopl malig do timo";-;-;-;-;-;-;-;-;-;1;-;-;3;1;-;5;13;2;6;23;6;3;7;1;2;4;5;82
"C38   Neopl malig do coracao mediastino e pleura";2;2;12;3;20;2;3;17;7;41;8;12;39;12;8;46;67;16;82;207;50;25;50;8;10;22;16;787
"C39   Neop mal out loc mal def ap resp org intrat";1;-;-;-;5;4;-;9;1;14;3;2;6;3;-;8;21;3;7;31;11;8;21;3;4;2;2;169
"C40   Neopl malig ossos/cartilag artic membros";4;1;5;3;15;-;9;12;5;18;8;19;13;5;1;23;14;12;24;55;20;16;27;5;4;13;5;336
"C41   Neopl malig ossos/cartil artic outr loc e NE";10;2;30;5;63;2;9;43;32;91;32;48;78;47;18;104;165;23;135;361;116;52;112;34;33;65;10;1720
"C43   Melanoma malig da pele";6;1;13;3;12;1;12;22;13;49;23;16;62;11;10;59;158;48;92;433;181;153;299;18;19;53;24;1791
"C44   Outr neopl malig da pele";23;7;27;1;71;1;8;33;61;138;48;60;146;32;39;175;219;50;173;442;154;101;162;35;34;74;15;2329
"C45   Mesotelioma";-;-;1;1;3;-;-;4;-;7;1;-;7;-;2;4;12;3;17;30;6;6;11;2;-;3;2;122
"C46   Sarcoma de Kaposi";2;-;1;-;1;-;1;1;1;3;3;-;4;1;-;7;3;2;6;10;1;3;5;1;-;-;-;56
"C47   Neopl malig nervos perif e sist nerv autonom";-;-;1;-;-;-;-;-;1;5;1;1;1;-;-;2;3;1;4;10;6;3;4;1;-;3;-;47
"C48   Neopl malig tec moles retro- e peritonio";12;2;15;5;50;9;7;43;22;85;23;52;43;34;7;83;171;17;115;313;68;39;70;15;18;48;19;1385
"C49   Neopl malig tec conjuntivo e outr tec moles";6;3;26;1;33;2;5;13;19;42;24;21;62;18;8;70;133;28;129;320;81;55;104;31;16;48;18;1316
"C50   Neopl malig da mama";70;50;184;29;350;30;75;252;187;734;291;262;817;161;164;991;1601;337;2398;4521;1024;669;1345;230;194;531;266;17763
"C51   Neopl malig da vulva";4;2;1;-;4;-;-;7;2;13;6;7;14;1;2;13;63;5;45;105;35;21;35;5;7;12;5;414
"C52   Neopl malig da vagina";-;-;1;-;10;1;3;2;1;3;2;2;5;2;-;5;17;2;20;26;6;5;7;3;1;6;-;130
"C53   Neopl malig do colo do utero";54;45;286;24;368;44;59;360;118;311;118;150;335;120;72;415;449;134;560;964;378;227;386;120;98;241;90;6526
"C54   Neopl malig do corpo do utero";9;3;16;1;30;2;5;37;11;59;20;22;85;21;14;71;174;23;281;486;91;65;121;19;10;45;22;1743
"C55   Neopl malig do utero porcao NE";10;2;24;7;70;8;11;31;14;64;36;53;105;40;33;130;203;46;275;491;115;68;128;27;20;71;8;2090
"C56   Neopl malig do ovario";20;9;46;6;79;8;20;72;48;167;49;58;214;35;29;223;372;79;433;1044;253;151;292;50;46;120;61;3984
"C57   Neopl malig outr org genitais femin e NE";2;1;2;-;-;-;1;9;5;10;2;4;5;1;5;11;33;5;41;71;14;3;22;3;5;4;1;260
"C58   Neopl malig da placenta";-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;1;-;1;2;-;1;-;-;10
