Categoria_CID;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
"A74   Outr doenc causadas p/Clamidias";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A75   Tifo exantematico";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A77   Febre maculosa";-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;12;4;5;20;1;-;-;1;-;-;-;46
"A79   Outr rickettsioses";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A81   Infecc p/virus atipicos sist nervoso central";-;-;-;-;-;-;-;1;1;3;-;2;4;-;1;5;4;1;9;17;5;9;6;-;-;3;2;73
"A82   Raiva";-;-;2;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"A83   Encefalite p/virus transm p/mosquitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"A84   Encefalite p/virus transm p/carrapatos";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"A85   Outr encefalites virais NCOP";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;2;-;1;1;-;-;-;-;7
"A86   Encefalite viral NE";-;1;6;1;8;1;1;6;2;10;2;5;2;5;4;9;19;2;19;51;11;5;8;1;3;4;2;188
"A87   Meningite viral";3;-;1;-;2;-;1;3;1;3;-;2;1;-;-;4;7;-;7;20;6;3;6;1;1;2;1;75
"A89   Infecc virais NE do sist nervoso central";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;4
"A90   Dengue";1;-;2;-;1;-;2;1;1;7;2;2;2;2;1;4;12;2;2;7;-;-;-;1;4;51;5;112
"A91   Febre hemorragica dev virus do dengue";-;1;-;-;3;-;1;3;-;24;5;1;6;-;1;2;11;11;4;6;-;-;-;1;2;12;4;98
"A92   Outr febres virais transm p/mosquitos";-;-;1;1;6;-;1;6;3;228;5;8;4;1;1;7;17;4;5;1;-;-;-;-;4;1;-;304
"A94   Febre viral transm p/artropodes NE";-;-;-;-;-;1;-;1;1;8;-;1;2;-;-;1;13;-;4;2;-;-;-;-;1;-;-;35
"A95   Febre amarela";-;-;-;-;6;-;1;-;-;-;-;-;-;-;-;1;74;88;5;13;1;-;-;1;-;2;3;195
"A96   Febre hemorragica p/arenavirus";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;3
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;1;-;-;2;-;1;-;-;-;1;-;1;7;-;-;1;1;-;2;-;3;2;1;23
"A99   Febres hemorragicas virais NE";-;-;3;-;1;-;-;-;-;1;1;-;-;3;1;-;28;1;-;14;1;-;-;-;-;-;-;54
"B00   Infecc p/virus do herpes";1;-;-;-;1;1;-;-;-;-;-;-;4;-;1;5;11;-;8;31;2;7;4;1;1;5;-;83
"B01   Varicela";1;-;5;1;5;2;2;3;3;3;2;1;4;1;-;5;4;-;2;9;3;2;3;2;-;3;1;67
"B02   Herpes zoster";-;-;1;-;5;-;-;1;-;8;2;-;6;1;2;5;10;2;6;23;5;4;6;-;1;2;1;91
"B05   Sarampo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"B06   Rubeola";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2
"B08   Outr inf virais lesoes pele membr muc NCOP";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B09   Inf viral NE caract p/lesoes pele membr muco";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"B15   Hepatite aguda A";-;-;-;-;2;-;-;3;-;-;2;-;2;2;1;1;2;-;1;4;-;-;2;-;-;-;-;22
"B16   Hepatite aguda B";8;7;14;3;8;1;1;13;7;7;1;3;10;5;4;13;12;1;27;31;5;13;13;8;10;7;1;233
"B17   Outr hepatites virais agudas";8;13;-;1;9;-;1;4;1;9;-;9;2;1;-;7;17;2;31;54;8;14;19;-;6;2;-;218
"B18   Hepatite viral cronica";22;12;48;2;42;3;6;16;8;15;17;8;52;9;9;58;104;21;212;616;88;38;328;19;15;39;15;1822
"B19   Hepatite viral NE";2;-;6;-;12;1;-;8;-;5;3;-;4;2;2;15;13;2;14;45;5;2;12;1;6;4;1;165
"B20   Doenc p/HIV result doenc infecc e parasit";87;19;236;16;430;27;32;256;87;264;117;113;507;104;73;407;483;170;1201;1661;391;326;881;146;141;240;82;8497
"B21   Doenc p/HIV result em neopl malig";3;-;9;1;7;-;3;8;7;8;3;2;14;4;4;15;25;11;22;70;28;23;43;7;6;9;4;336
"B22   Doenc p/HIV result em outr doenc espec";13;4;32;5;68;5;9;34;9;40;11;11;50;21;9;64;105;13;133;229;72;63;117;22;22;20;12;1193
"B23   Doenc p/HIV result em outr doenc";-;-;5;-;14;-;1;6;6;9;2;3;2;1;4;4;11;1;28;13;6;14;11;3;4;4;1;153
"B24   Doenc p/HIV NE";17;4;23;3;148;11;8;75;21;37;16;11;35;13;10;116;121;21;198;213;76;78;216;14;38;24;9;1556
"B25   Doenc p/citomegalovirus";-;1;-;-;2;-;1;-;1;5;2;-;-;-;1;4;1;-;1;13;7;5;-;-;2;1;2;49
"B26   Caxumba";-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;1;-;2;1;6;-;-;1;1;-;-;-;15
"B27   Mononucleose infecc";-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;6
"B33   Outr doenc p/virus NCOP";-;-;-;3;2;-;-;-;-;2;-;-;-;-;-;5;3;1;1;5;1;3;4;-;4;-;2;36
"B34   Doenc p/virus de localiz NE";-;-;-;-;4;-;1;6;-;14;9;1;4;5;4;5;5;-;2;8;4;1;-;-;1;-;-;74
"B37   Candidiase";-;-;-;-;1;-;-;2;1;1;-;-;2;-;1;8;6;3;7;18;1;1;5;-;2;-;3;62
"B38   Coccidioidomicose";-;-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;6
"B39   Histoplasmose";-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;1;-;2;5;1;1;2;1;1;-;-;17
"B40   Blastomicose";5;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4;-;-;11;1;1;-;1;6;2;-;33
"B41   Paracoccidioidomicose";4;-;-;2;1;1;3;1;2;-;-;-;-;-;1;-;5;2;2;23;11;1;4;2;2;2;1;70
"B43   Cromomicose e abscesso feomicotico";-;-;-;-;1;-;-;-;1;-;-;2;-;-;-;-;-;-;-;1;1;1;1;-;1;-;-;9
"B44   Aspergilose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;7;-;4;14;1;4;4;1;-;4;-;42
"B45   Criptococose";-;1;8;-;6;-;1;2;2;9;-;1;3;1;2;7;12;3;5;24;4;2;9;1;7;5;3;118
"B46   Zigomicose";1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;4;-;-;-;1;-;-;-;9
"B47   Micetoma";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;3
"B48   Outr micoses NCOP";-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"B49   Micose NE";-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;4;1;1;14;1;-;3;2;1;-;-;31
"B50   Malaria p/Plasmodium falciparum";1;2;1;1;1;1;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;11
"B51   Malaria p/Plasmodium vivax";1;-;5;1;2;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;11
"B54   Malaria NE";2;-;4;-;1;1;-;2;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;12
"B55   Leishmaniose";-;1;1;1;31;-;14;85;24;34;9;5;20;5;5;37;82;2;5;14;3;-;3;15;7;5;1;409
"B56   Tripanossomiase africana";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"B57   Doenc de Chagas";20;2;2;1;21;3;62;6;50;53;16;30;111;98;17;603;1062;4;26;985;169;4;31;46;61;840;220;4543
"B58   Toxoplasmose";-;-;1;-;4;-;-;1;1;2;-;1;1;1;1;-;3;3;6;10;2;1;7;-;3;3;-;51
"B59   Pneumocistose";1;-;-;-;2;-;-;-;2;1;2;1;2;1;-;4;10;1;15;10;4;4;5;-;-;1;-;66
"B64   Doenc NE dev protozoarios";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B65   Esquistossomose";2;-;-;-;-;-;-;5;-;7;4;12;174;72;22;66;75;14;13;67;1;1;-;-;1;4;3;543
"B67   Equinococose";-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4
"B69   Cisticercose";2;-;-;-;-;-;-;1;3;11;2;-;2;-;1;6;13;2;3;14;12;3;2;-;2;6;-;85
"B74   Filariose";-;-;1;-;3;-;-;-;-;1;-;-;-;-;1;-;1;-;-;1;1;-;-;-;-;-;-;9
"B77   Ascaridiase";-;-;-;1;1;-;-;2;-;-;-;-;1;-;-;1;-;2;-;2;-;-;-;-;-;-;-;10
"B78   Estrongiloidiase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"B82   Parasitose intestinal NE";-;-;2;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;8
"B83   Outr helmintiases";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;2
"B86   Escabiose";1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;5
"B87   Miiase";-;-;1;-;1;-;2;1;-;5;-;-;-;-;-;4;1;-;5;12;6;2;4;1;-;1;-;46
"B88   Outr infestacoes";-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;4
"B89   Doenc parasit NE";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B90   Sequelas de tuberc";6;-;8;2;6;-;1;7;6;33;10;8;46;6;-;25;30;6;16;57;14;4;19;4;5;5;4;328
"B91   Sequelas de poliomielite";-;-;-;-;1;-;3;1;1;2;1;-;2;-;-;3;4;7;4;9;2;5;7;2;4;4;-;62
"B92   Sequelas de hanseniase";-;-;2;-;5;-;5;4;1;2;-;1;-;-;-;1;2;2;-;2;3;-;-;-;3;3;-;36
"B94   Sequelas de outr doenc infecc e parasit e NE";1;-;-;-;1;-;1;1;1;10;6;1;2;-;-;4;8;2;2;28;5;1;8;2;-;5;2;91
"B99   Doenc infecc outr e as NE";1;-;-;-;1;-;-;2;2;4;1;-;26;11;-;7;13;1;26;15;2;2;4;2;-;-;-;120
"C00   Neopl malig do labio";-;-;1;-;4;-;-;5;1;2;2;3;1;1;1;2;5;1;5;15;10;6;9;2;1;3;1;81
"C01   Neopl malig da base da lingua";3;2;6;-;15;2;1;6;4;22;3;8;16;5;1;33;89;27;54;169;34;21;60;5;7;14;10;617
"C02   Neopl malig outr partes e NE da lingua";9;1;6;1;25;3;-;16;14;51;20;21;55;15;15;71;127;38;100;355;50;51;59;15;14;38;28;1198
"C03   Neopl malig da gengiva";-;-;-;-;1;-;1;-;-;1;-;2;1;1;1;7;7;1;6;21;5;4;-;-;2;1;1;63
"C04   Neopl malig do assoalho da boca";-;-;-;2;5;-;2;8;1;9;4;4;6;6;4;17;18;8;17;66;20;9;12;-;3;7;3;231
"C05   Neopl malig do palato";-;1;1;-;11;1;1;2;3;10;4;10;13;3;3;19;33;9;23;89;19;14;28;8;3;6;2;316
"C06   Neopl malig outr partes e partes NE da boca";9;3;19;2;14;1;9;29;23;71;29;31;60;18;30;76;115;24;83;265;79;40;70;15;13;40;14;1182
"C07   Neopl malig da gland parotida";5;1;2;-;6;1;1;4;1;10;2;1;9;7;7;14;22;4;27;79;20;11;20;2;5;10;8;279
"C08   Neopl malig outr gland saliv maiores e NE";-;-;-;1;2;-;-;4;1;5;3;-;6;1;1;6;10;2;10;26;2;4;7;2;1;-;2;96
"C09   Neopl malig da amigdala";-;-;1;-;5;-;-;5;1;3;-;1;7;1;1;10;17;6;11;64;13;8;13;2;4;6;3;182
"C10   Neopl malig da orofaringe";6;4;19;1;27;8;9;22;7;84;34;29;87;22;19;130;253;55;201;527;130;67;157;29;27;71;26;2051
"C11   Neopl malig da nasofaringe";3;-;5;-;5;-;-;15;6;17;7;8;18;7;5;29;23;10;32;85;25;9;14;5;5;10;6;349
"C12   Neopl malig do seio piriforme";-;-;-;-;1;-;1;-;1;-;-;1;3;1;1;3;5;2;3;30;7;1;2;2;1;2;-;67
"C13   Neopl malig da hipofaringe";2;-;1;2;16;3;1;3;1;18;5;8;10;3;2;26;63;11;29;145;34;24;35;1;5;21;3;472
"C14   Neop mal out loc mal def labio cav oral far";5;1;6;1;14;2;1;23;7;30;12;19;40;15;14;110;103;20;60;192;102;27;77;17;9;28;7;942
"C15   Neopl malig do esofago";44;14;46;12;105;10;32;89;99;364;124;126;300;79;70;542;1342;231;638;1787;641;379;988;120;107;198;67;8554
"C16   Neopl malig do estomago";100;58;306;36;579;52;91;305;145;766;236;281;550;121;95;805;1465;284;1253;3479;904;589;912;197;169;345;191;14314
"C17   Neopl malig do intestino delgado";9;1;11;1;36;1;7;26;14;60;21;16;43;13;13;43;106;20;68;288;81;44;80;18;9;24;13;1066
"C18   Neopl malig do colon";40;16;63;10;140;12;49;111;89;289;142;99;331;53;73;441;1009;239;1508;3714;750;422;1369;188;107;321;206;11791
"C19   Neopl malig da juncao retossigmoide";15;2;7;1;26;-;6;20;17;61;39;17;45;12;14;61;191;20;150;421;61;52;104;25;15;50;16;1448
"C20   Neopl malig do reto";30;8;67;5;99;11;26;62;59;150;78;72;173;37;38;258;480;81;647;1501;345;160;424;78;66;156;57;5168
"C21   Neopl malig do anus e do canal anal";6;3;7;-;18;1;3;15;4;9;8;3;19;7;2;29;41;11;50;113;27;18;31;3;11;10;11;460
"C22   Neopl malig figado vias biliares intra-hepat";80;47;153;24;265;16;62;319;156;383;135;216;489;171;70;648;923;174;849;2513;650;337;905;124;113;262;117;10201
"C23   Neopl malig da vesicula biliar";9;-;13;2;37;5;9;15;20;39;23;20;92;11;9;75;102;47;123;235;53;50;92;15;12;23;19;1150
"C24   Neopl malig outr partes e NE vias biliares";11;1;37;-;49;8;13;58;31;112;41;51;119;41;23;163;245;42;237;626;178;78;211;23;26;57;26;2507
"C25   Neopl malig do pancreas";51;28;78;20;176;17;34;136;94;417;141;126;421;79;60;517;1113;199;1067;3041;705;481;1040;145;125;319;124;10754
"C26   Neopl malig outr mal def aparelho digestivo";15;5;32;-;46;5;9;48;50;132;54;60;124;28;49;247;534;68;493;1012;303;174;354;26;44;122;26;4060
"C30   Neopl malig cavidade nasal e do ouvido medio";-;-;-;-;3;1;-;2;1;8;1;1;4;2;-;7;13;3;4;22;6;5;5;1;-;3;-;92
"C31   Neopl malig dos seios da face";-;-;-;1;5;-;1;3;2;5;6;1;4;5;3;10;17;6;14;46;10;4;13;3;-;4;2;165
"C32   Neopl malig da laringe";22;10;54;8;71;6;26;60;47;216;60;119;190;52;53;261;557;107;368;1155;270;156;319;71;86;119;38;4501
"C33   Neopl malig da traqueia";2;-;1;-;-;-;1;2;2;4;1;3;-;2;3;12;6;1;7;16;6;4;14;2;2;6;1;98
"C34   Neopl malig dos bronquios e dos pulmoes";149;89;315;54;563;40;137;471;331;1208;428;440;957;262;179;1174;2558;487;2811;6747;1814;1382;3360;369;320;908;280;27833
"C37   Neopl malig do timo";-;-;1;-;1;-;-;-;-;6;-;-;2;-;-;-;3;1;2;9;1;1;5;1;1;1;-;35
"C38   Neopl malig do coracao mediastino e pleura";4;2;10;1;15;1;6;18;12;35;21;11;35;11;7;41;68;13;85;197;47;27;46;7;10;18;12;760
"C39   Neop mal out loc mal def ap resp org intrat";2;-;-;-;8;-;3;6;1;7;1;2;6;5;1;12;19;-;6;54;8;8;18;2;2;1;-;172
"C40   Neopl malig ossos/cartilag artic membros";2;1;4;2;11;1;2;8;4;16;4;19;15;4;3;23;23;5;21;49;15;9;16;3;3;4;6;273
"C41   Neopl malig ossos/cartil artic outr loc e NE";17;4;26;5;48;7;11;52;26;89;30;56;67;28;15;111;177;22;140;348;104;58;101;31;19;53;14;1659
"C43   Melanoma malig da pele";7;3;9;3;17;2;6;18;15;44;20;18;54;14;11;50;156;50;77;516;172;163;302;14;14;52;28;1835
"C44   Outr neopl malig da pele";17;15;15;5;76;5;13;48;50;140;52;78;133;28;32;150;212;36;168;416;155;72;175;30;35;76;18;2250
"C45   Mesotelioma";-;-;-;-;1;-;1;3;-;4;-;1;3;1;-;4;9;1;8;41;5;4;13;-;-;1;1;101
"C46   Sarcoma de Kaposi";1;-;1;-;1;-;-;2;-;1;1;-;4;1;1;8;6;1;3;10;3;5;6;-;1;2;-;58
"C47   Neopl malig nervos perif e sist nerv autonom";1;-;-;-;2;-;-;1;-;3;2;1;4;2;1;1;5;2;7;9;3;2;1;1;1;-;-;49
"C48   Neopl malig tec moles retro- e peritonio";23;2;8;3;45;4;4;52;24;80;24;53;39;15;8;72;148;16;93;382;56;47;68;12;8;32;8;1326
"C49   Neopl malig tec conjuntivo e outr tec moles";15;3;16;2;25;2;9;23;19;60;20;20;56;12;11;80;128;19;122;306;76;40;92;23;11;63;18;1271
"C50   Neopl malig da mama";82;31;162;14;313;23;71;217;220;684;259;216;793;170;165;993;1641;284;2297;4228;945;623;1347;222;212;516;199;16927
"C51   Neopl malig da vulva";1;-;4;-;9;2;3;3;3;8;7;7;16;6;4;20;52;6;46;111;31;20;52;3;5;10;2;431
"C52   Neopl malig da vagina";1;-;2;-;4;-;-;2;1;3;-;3;4;2;2;6;18;-;16;23;6;5;8;1;2;1;3;113
"C53   Neopl malig do colo do utero";57;36;293;26;360;31;76;356;138;324;100;152;361;112;77;430;454;128;545;939;331;205;396;105;74;184;95;6385
"C54   Neopl malig do corpo do utero";11;1;23;-;34;3;5;28;15;62;24;22;101;21;14;80;166;31;252;512;117;42;128;23;21;47;44;1827
"C55   Neopl malig do utero porcao NE";3;3;10;-;51;5;6;51;29;73;36;38;98;21;25;150;218;44;265;527;133;65;134;27;19;72;11;2114
"C56   Neopl malig do ovario";14;11;43;5;82;3;14;71;45;149;57;60;207;46;34;198;379;64;406;1070;230;152;284;49;51;97;58;3879
"C57   Neopl malig outr org genitais femin e NE";1;2;-;-;1;-;1;4;5;9;5;1;15;1;3;18;18;6;30;71;4;6;15;2;4;2;1;225
"C58   Neopl malig da placenta";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;1;-;2;-;-;-;-;6
"C60   Neopl malig do penis";9;2;8;2;23;2;6;31;16;18;3;9;17;8;11;41;41;13;27;63;23;11;23;4;13;16;4;444
"C61   Neopl malig da prostata";122;44;175;38;387;33;117;411;252;686;294;323;741;176;182;1290;1558;316;1511;3102;991;442;1100;211;241;486;162;15391
"C62   Neopl malig dos testiculos";1;1;14;1;15;-;1;11;4;10;1;1;11;6;4;18;48;5;23;109;36;23;41;3;4;9;3;403
"C63   Neopl malig outr org genit masc e NE";-;-;1;-;2;-;-;-;-;3;-;-;1;2;-;4;6;-;7;9;2;2;1;1;1;2;-;44
"C64   Neopl malig do rim exceto pelve renal";20;5;36;4;66;9;13;42;35;145;48;42;118;25;20;132;342;52;327;925;272;127;407;51;40;100;53;3456
"C65   Neopl malig da pelve renal";1;1;1;-;2;1;-;2;2;3;-;-;3;1;-;4;9;2;4;20;5;10;14;1;2;5;2;95
