Categoria_CID;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
"A30   Hanseniase";2;2;2;-;11;-;7;24;10;15;-;2;9;-;3;20;7;2;9;8;4;1;1;2;2;7;-;150
"A31   Infecc dev outr micobacterias";3;-;3;1;16;-;1;1;2;39;24;91;2;32;-;22;12;1;4;52;7;4;6;-;-;3;1;327
"A32   Listeriose";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4;1;-;3;-;-;-;-;10
"A33   Tetano do recem-nascido";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"A35   Outr tipos de tetano";-;-;2;-;6;1;-;8;1;1;2;1;6;-;2;5;7;2;1;3;7;4;6;3;2;-;-;70
"A36   Difteria";-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"A37   Coqueluche";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2;1;-;-;1;-;-;-;-;-;-;6
"A38   Escarlatina";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A39   Infecc meningogocica";-;-;3;1;8;1;1;7;1;17;3;3;7;2;-;10;18;1;11;52;9;7;14;1;1;9;5;192
"A40   Septicemia estreptococica";1;-;-;-;8;-;-;4;1;26;8;17;6;7;-;3;15;2;2;16;4;6;5;-;2;2;-;135
"A41   Outr septicemias";138;56;166;14;515;81;35;617;232;928;338;502;949;321;163;1436;2910;110;4748;3619;808;713;1327;149;312;242;107;21536
"A42   Actinomicose";-;-;-;-;1;-;2;3;1;3;1;2;1;-;-;-;3;-;-;4;2;1;10;-;-;1;-;35
"A43   Nocardiose";-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;2;1;1;1;1;-;-;-;-;3;-;-;12
"A44   Bartonelose";-;-;-;-;1;-;-;1;1;15;-;1;1;1;-;2;1;-;1;3;2;1;1;-;-;-;-;32
"A46   Erisipela";10;5;18;1;84;7;9;45;32;126;56;49;107;35;79;133;144;66;273;489;60;34;72;32;22;44;11;2043
"A48   Outr doenc bacter NCOP";4;-;4;1;97;2;1;23;6;17;1;6;19;1;1;10;15;2;19;67;20;19;5;7;9;4;1;361
"A49   Infecc bacter de localiz NE";1;-;2;-;19;-;1;8;1;7;3;9;10;7;3;33;26;2;10;52;12;10;35;-;3;7;1;262
"A50   Sifilis congen";2;1;6;-;7;1;-;8;6;5;2;2;11;6;2;6;16;7;46;15;4;7;10;3;2;4;4;183
"A51   Sifilis precoce";-;-;-;-;-;-;-;1;-;-;2;1;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;7
"A52   Sifilis tard";-;-;1;1;2;1;-;2;2;2;1;1;-;-;-;4;11;-;5;13;3;1;5;-;2;2;1;60
"A53   Outr form e as NE da sifilis";-;-;-;-;1;-;-;1;1;1;-;-;1;-;1;1;1;-;-;2;-;-;2;1;1;-;-;14
"A54   Infecc gonococica";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;4
"A55   Linfogranuloma p/clamidia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"A56   Outr infecc p/clamidias transm p/via sexual";-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;1;-;1;2;-;-;-;-;-;-;-;7
"A57   Cancro mole";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"A59   Tricomoniase";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
"A60   Infecc anogenitais p/virus do herpes";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;3
"A63   Outr doenc de transm predom sexual NCOP";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;3
"A64   Doenc sexualmente transm NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;2
"A68   Febres recorrentes";-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;-;-;-;-;-;-;6
"A69   Outr infecc p/espiroquetas";-;-;2;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;6
"A74   Outr doenc causadas p/Clamidias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"A77   Febre maculosa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;2;5;31;-;-;-;-;1;-;-;52
"A78   Febre Q";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"A81   Infecc p/virus atipicos sist nervoso central";-;-;1;-;-;-;-;6;1;6;2;-;6;-;1;7;12;-;9;28;4;6;12;2;-;3;-;106
"A83   Encefalite p/virus transm p/mosquitos";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"A84   Encefalite p/virus transm p/carrapatos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"A85   Outr encefalites virais NCOP";-;-;-;-;1;-;-;1;-;-;1;-;-;1;-;-;-;1;1;3;-;-;1;-;-;-;-;10
"A86   Encefalite viral NE";1;-;6;-;11;-;1;3;-;9;2;6;10;8;-;12;14;3;18;50;10;6;13;-;4;10;2;199
"A87   Meningite viral";-;-;1;-;3;-;1;2;1;2;3;-;2;1;-;3;5;2;6;15;9;7;2;1;-;4;1;71
"A89   Infecc virais NE do sist nervoso central";2;-;-;-;1;-;-;1;-;-;1;-;1;-;-;-;2;-;1;-;-;-;-;-;-;-;-;9
"A90   Dengue";-;2;-;-;1;-;-;4;2;4;5;7;9;1;4;13;120;1;11;167;18;-;-;21;2;83;38;513
"A91   Febre hemorragica dev virus do dengue";2;3;-;-;1;-;9;10;3;9;4;5;10;3;11;29;91;42;4;70;11;-;1;17;5;34;15;389
"A92   Outr febres virais transm p/mosquitos";-;-;-;-;1;-;1;2;-;11;7;4;4;1;-;11;4;1;67;1;-;-;-;-;-;-;1;116
"A94   Febre viral transm p/artropodes NE";-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;-;14;-;6;-;-;-;-;-;-;-;-;24
"A95   Febre amarela";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;12;2;2;-;-;-;-;-;18
"A96   Febre hemorragica p/arenavirus";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;-;-;-;2;-;-;-;1;-;-;1;1;2;2;1;11;2;2;1;-;-;-;2;28
"A99   Febres hemorragicas virais NE";-;-;6;1;4;-;-;-;-;3;-;1;-;7;-;2;31;2;-;16;-;-;-;-;-;1;-;74
"B00   Infecc p/virus do herpes";-;-;-;-;1;-;-;2;1;1;-;-;5;1;2;5;8;3;10;29;9;5;5;2;3;4;-;96
"B01   Varicela";2;-;2;2;6;-;-;2;3;6;1;-;1;1;-;2;1;-;1;4;-;-;4;-;-;-;-;38
"B02   Herpes zoster";-;-;2;-;3;-;-;2;1;4;-;-;7;1;-;4;15;2;13;33;5;5;7;1;1;5;1;112
"B05   Sarampo";-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;8;-;-;-;-;-;-;-;11
"B06   Rubeola";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"B08   Outr inf virais lesoes pele membr muc NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;1;-;-;-;-;4
"B09   Inf viral NE caract p/lesoes pele membr muco";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;4
"B15   Hepatite aguda A";1;1;-;-;4;-;-;3;-;-;-;-;1;-;-;2;2;-;-;8;-;-;-;-;-;3;-;25
"B16   Hepatite aguda B";11;14;26;-;7;-;1;11;3;6;1;3;14;2;1;10;17;2;11;22;13;10;4;1;1;4;1;196
"B17   Outr hepatites virais agudas";4;7;2;2;7;-;1;4;1;9;3;12;13;3;-;1;12;1;31;42;7;3;16;1;3;3;-;188
"B18   Hepatite viral cronica";21;16;38;5;40;2;3;20;9;17;16;8;45;12;9;74;83;26;158;469;95;42;250;21;22;39;28;1568
"B19   Hepatite viral NE";1;-;5;-;2;-;1;7;1;3;5;5;5;3;3;14;18;2;24;26;2;5;5;1;1;5;2;146
"B20   Doenc p/HIV result doenc infecc e parasit";49;15;205;22;498;31;36;331;93;256;107;110;408;90;72;376;492;165;1053;1402;327;308;769;142;115;223;78;7773
"B21   Doenc p/HIV result em neopl malig";3;-;5;3;12;1;2;2;2;18;2;2;11;5;1;15;21;2;41;50;22;25;42;4;3;13;2;309
"B22   Doenc p/HIV result em outr doenc espec";5;2;29;1;73;4;6;34;13;23;11;9;58;10;11;60;83;27;133;229;36;40;130;14;42;28;8;1119
"B23   Doenc p/HIV result em outr doenc";2;-;-;1;15;1;-;8;2;1;1;1;-;-;3;9;9;-;24;14;7;5;14;3;2;2;-;124
"B24   Doenc p/HIV NE";8;2;37;4;111;12;4;56;24;29;15;23;42;8;9;108;95;13;216;157;80;61;180;17;21;20;10;1362
"B25   Doenc p/citomegalovirus";1;-;1;-;1;1;-;2;1;2;1;-;3;-;2;2;5;2;6;22;6;2;1;1;1;2;-;65
"B26   Caxumba";-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;3;-;-;1;1;10
"B27   Mononucleose infecc";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"B33   Outr doenc p/virus NCOP";-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;8;2;-;6;5;2;2;1;-;1;2;-;35
"B34   Doenc p/virus de localiz NE";-;-;5;-;3;-;2;2;1;-;1;1;7;1;4;3;5;4;7;5;3;1;-;-;4;1;-;60
"B37   Candidiase";2;-;3;-;1;-;1;4;1;3;1;3;5;-;1;5;9;1;10;31;4;-;2;1;2;2;-;92
"B38   Coccidioidomicose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;3
"B39   Histoplasmose";-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;2;2;-;3;4;1;2;3;-;1;2;-;22
"B40   Blastomicose";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;1;1;7;1;1;-;-;4;-;-;24
"B41   Paracoccidioidomicose";4;2;-;-;-;-;1;3;-;-;-;-;-;1;-;3;11;5;4;18;11;4;2;2;2;4;-;77
"B42   Esporotricose";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"B43   Cromomicose e abscesso feomicotico";-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;4
"B44   Aspergilose";1;-;-;-;2;-;-;1;-;-;2;-;3;-;-;2;5;1;1;12;1;1;4;1;1;1;-;39
"B45   Criptococose";1;-;6;-;18;-;1;2;3;5;-;2;2;-;1;5;10;2;13;31;6;4;5;2;2;5;3;129
"B46   Zigomicose";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;3;-;-;-;-;-;2;-;8
"B47   Micetoma";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"B48   Outr micoses NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;3
"B49   Micose NE";-;-;-;-;2;-;-;1;-;1;-;-;1;-;2;1;3;-;8;5;1;-;-;1;-;-;-;26
"B50   Malaria p/Plasmodium falciparum";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;3
"B51   Malaria p/Plasmodium vivax";1;-;6;6;4;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;21
"B54   Malaria NE";-;-;1;1;2;-;-;1;-;-;-;-;-;1;-;-;1;1;-;2;-;-;-;-;2;1;-;13
"B55   Leishmaniose";1;1;2;2;21;1;17;36;11;30;10;1;16;5;7;22;29;1;1;12;-;1;-;15;5;10;-;257
"B56   Tripanossomiase africana";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B57   Doenc de Chagas";12;1;2;-;19;-;39;10;53;65;26;25;109;101;22;611;1006;7;28;900;160;1;34;34;51;754;217;4287
"B58   Toxoplasmose";-;-;-;-;3;1;1;4;1;2;1;2;4;2;-;1;1;1;10;8;5;3;1;-;3;1;-;55
"B59   Pneumocistose";-;-;3;2;2;-;-;3;1;2;2;-;-;-;-;3;10;-;14;20;5;1;5;5;1;3;3;85
"B64   Doenc NE dev protozoarios";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B65   Esquistossomose";-;-;1;-;-;-;1;5;-;1;1;7;158;40;27;63;74;14;9;50;3;-;-;-;1;3;4;462
"B66   Outr infestacoes p/trematodeos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"B67   Equinococose";-;1;1;1;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;8
"B69   Cisticercose";1;-;-;-;-;-;-;1;1;9;2;1;1;-;-;7;5;3;3;12;6;2;1;1;1;3;-;60
"B71   Outr infestacoes p/cestoides";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B72   Dracontiase";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"B74   Filariose";-;-;-;-;1;-;1;-;-;2;-;-;-;-;1;-;-;-;1;3;-;-;2;-;-;-;-;11
"B77   Ascaridiase";-;-;3;-;-;-;-;1;1;3;-;-;-;-;1;1;-;-;1;1;4;1;-;-;-;-;-;17
"B78   Estrongiloidiase";-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;5
"B80   Oxiuriase";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B81   Outr helmintiases intestinais NCOP";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"B82   Parasitose intestinal NE";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;4
"B83   Outr helmintiases";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"B86   Escabiose";-;-;-;1;1;-;-;-;1;-;2;-;-;1;-;1;-;-;2;1;-;1;-;-;-;1;-;12
"B87   Miiase";2;-;1;1;2;1;1;2;-;2;-;-;5;1;-;3;10;2;12;12;3;-;6;3;-;2;-;71
"B88   Outr infestacoes";-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;2;-;-;-;-;-;-;-;-;6
"B89   Doenc parasit NE";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"B90   Sequelas de tuberc";1;1;34;1;9;-;3;13;7;44;5;4;37;3;3;30;21;6;24;54;13;9;18;4;6;6;-;356
"B91   Sequelas de poliomielite";1;-;-;-;1;-;2;3;1;1;1;1;8;-;-;3;2;4;3;13;9;-;10;1;2;8;1;75
"B92   Sequelas de hanseniase";3;-;5;-;2;-;2;9;3;4;-;-;2;-;-;6;1;1;1;1;3;2;-;-;2;1;-;48
"B94   Sequelas de outr doenc infecc e parasit e NE";1;-;-;-;2;1;1;3;5;7;2;1;6;-;2;7;5;1;4;39;7;3;1;-;-;9;3;110
"B99   Doenc infecc outr e as NE";-;-;-;-;5;1;-;-;3;3;2;1;25;14;3;8;11;-;18;8;1;1;3;1;-;1;4;113
"C00   Neopl malig do labio";-;-;-;-;-;-;-;-;3;6;2;1;1;1;1;5;3;2;4;18;4;3;7;1;1;-;5;68
"C01   Neopl malig da base da lingua";3;1;5;1;11;1;3;2;5;27;3;3;23;4;4;30;79;39;49;136;59;26;37;9;7;10;11;588
"C02   Neopl malig outr partes e NE da lingua";10;2;17;5;30;1;3;8;15;56;24;26;73;24;20;102;146;40;136;404;82;58;80;17;16;28;12;1435
"C03   Neopl malig da gengiva";-;-;1;-;3;-;-;-;-;1;2;-;5;-;1;3;3;4;4;17;1;1;1;1;-;-;1;49
"C04   Neopl malig do assoalho da boca";1;1;4;-;7;-;-;2;1;7;2;6;5;1;-;13;21;10;16;48;9;8;12;2;3;2;3;184
"C05   Neopl malig do palato";1;-;10;-;9;-;1;1;2;13;7;5;13;1;2;13;38;18;43;88;21;12;26;3;1;5;4;337
"C06   Neopl malig outr partes e partes NE da boca";8;2;5;2;11;2;7;16;21;74;33;54;60;10;17;82;142;22;77;260;90;51;95;8;13;33;11;1206
"C07   Neopl malig da gland parotida";5;1;1;2;11;1;1;2;5;8;3;7;16;4;2;11;32;4;21;75;17;10;23;2;3;12;6;285
"C08   Neopl malig outr gland saliv maiores e NE";-;-;1;-;4;-;-;6;-;2;3;-;5;3;-;8;11;6;12;26;8;2;15;2;1;3;4;122
"C09   Neopl malig da amigdala";1;-;4;-;6;2;-;3;1;6;-;2;4;1;1;13;22;10;12;42;11;7;4;1;1;2;3;159
"C10   Neopl malig da orofaringe";10;3;17;6;21;2;6;25;25;75;29;38;99;25;22;167;281;64;209;526;110;101;140;33;36;85;17;2172
"C11   Neopl malig da nasofaringe";-;1;7;-;13;1;2;14;3;18;4;4;22;11;4;36;34;4;33;80;21;18;20;-;5;11;8;374
"C12   Neopl malig do seio piriforme";-;-;-;-;2;-;-;-;-;1;-;-;2;-;-;1;10;1;4;25;7;3;4;2;-;2;-;64
"C13   Neopl malig da hipofaringe";1;1;4;-;14;1;1;6;1;18;3;6;13;9;4;30;49;15;28;118;38;18;48;3;2;22;7;460
"C14   Neop mal out loc mal def labio cav oral far";4;4;9;1;17;2;6;20;11;31;21;14;31;13;8;75;108;21;43;217;68;24;70;22;15;18;4;877
"C15   Neopl malig do esofago";33;14;50;7;122;12;41;95;90;356;121;159;283;73;63;596;1302;259;613;1827;658;372;968;150;115;247;90;8716
"C16   Neopl malig do estomago";128;34;316;40;602;72;70;353;143;853;279;301;625;125;95;869;1529;355;1163;3734;1005;604;944;147;199;348;178;15111
"C17   Neopl malig do intestino delgado";9;3;11;3;38;2;8;19;12;44;15;29;58;13;10;51;102;23;72;316;73;40;117;12;14;27;11;1132
"C18   Neopl malig do colon";49;13;58;15;148;7;34;136;76;290;150;118;373;81;74;469;1146;256;1650;4141;856;469;1282;149;149;369;210;12768
"C19   Neopl malig da juncao retossigmoide";5;2;10;-;37;1;2;12;15;52;24;15;48;11;8;84;197;19;168;407;63;55;97;24;13;54;22;1445
"C20   Neopl malig do reto";24;9;67;9;102;4;25;70;66;157;73;76;175;26;40;253;575;121;695;1557;328;178;459;65;55;180;83;5472
"C21   Neopl malig do anus e do canal anal";12;6;6;4;42;3;3;18;8;49;14;30;33;13;2;47;83;16;74;186;61;56;76;13;11;18;9;893
"C22   Neopl malig figado vias biliares intra-hepat";100;49;143;18;268;13;65;317;180;424;168;231;557;156;70;681;1020;210;864;2796;638;358;930;139;120;290;97;10902
"C23   Neopl malig da vesicula biliar";5;3;14;4;36;12;7;29;17;53;20;28;87;17;11;91;125;38;94;218;47;31;85;13;17;42;21;1165
"C24   Neopl malig outr partes e NE vias biliares";23;5;44;4;61;3;11;39;35;128;37;44;144;43;22;200;280;54;266;698;176;83;209;28;28;75;36;2776
"C25   Neopl malig do pancreas";74;23;102;18;193;10;47;150;116;387;152;175;419;96;90;604;1106;221;1223;3363;816;502;1183;136;118;314;163;11801
"C26   Neopl malig outr mal def aparelho digestivo";27;6;37;4;54;9;21;67;69;136;55;100;120;31;35;279;632;47;544;1035;336;178;308;59;47;122;22;4380
"C30   Neopl malig cavidade nasal e do ouvido medio";-;-;2;-;5;-;2;2;1;11;2;1;2;1;3;3;11;1;6;31;4;3;10;1;1;6;6;115
"C31   Neopl malig dos seios da face";2;-;-;1;3;-;2;5;-;4;1;3;5;4;-;15;19;5;10;48;9;5;13;-;1;5;2;162
"C32   Neopl malig da laringe";32;11;40;7;90;9;23;54;52;199;93;81;183;41;51;282;507;109;357;1261;284;130;323;69;71;130;43;4532
"C33   Neopl malig da traqueia";-;-;3;-;4;-;-;-;1;6;-;7;4;2;-;9;12;-;8;20;9;1;9;-;1;3;1;100
"C34   Neopl malig dos bronquios e dos pulmoes";166;86;314;37;570;56;138;497;341;1305;475;453;1038;284;208;1225;2704;537;2742;7267;1996;1388;3519;338;313;951;306;29254
"C37   Neopl malig do timo";2;-;-;-;4;-;-;-;-;3;-;-;5;-;1;6;6;1;3;21;3;-;6;-;-;2;1;64
"C38   Neopl malig do coracao mediastino e pleura";2;-;10;2;16;8;3;18;10;39;19;17;47;12;7;54;79;16;84;218;57;37;67;9;8;14;14;867
"C39   Neop mal out loc mal def ap resp org intrat";1;1;2;-;6;-;-;7;3;9;-;6;4;4;1;8;9;6;5;34;10;10;2;2;1;4;-;135
"C40   Neopl malig ossos/cartilag artic membros";4;-;6;1;12;1;2;14;9;12;5;12;17;3;1;27;24;13;21;39;18;11;21;5;3;14;2;297
"C41   Neopl malig ossos/cartil artic outr loc e NE";14;8;20;5;48;8;12;44;41;83;33;41;76;23;14;100;183;23;133;383;133;53;107;18;28;68;14;1713
"C43   Melanoma malig da pele";12;2;14;4;17;2;4;19;21;72;26;16;74;19;12;50;182;40;128;501;181;148;311;19;30;51;23;1978
"C44   Outr neopl malig da pele";23;4;23;6;73;5;18;66;59;157;69;72;146;32;41;187;236;53;214;535;158;107;166;19;47;88;12;2616
"C45   Mesotelioma";2;-;-;-;3;-;-;5;-;2;1;1;5;1;-;4;12;6;11;43;10;6;13;3;1;6;2;137
"C46   Sarcoma de Kaposi";-;-;3;-;1;-;-;1;1;3;-;-;2;-;-;5;3;-;4;7;2;3;5;2;1;1;-;44
"C47   Neopl malig nervos perif e sist nerv autonom";-;1;-;-;1;-;2;1;-;2;-;-;2;-;-;4;5;2;8;13;-;1;4;1;1;2;2;52
"C48   Neopl malig tec moles retro- e peritonio";8;2;11;1;31;4;7;57;16;67;14;46;41;25;15;86;163;21;120;407;72;45;80;19;18;42;20;1438
"C49   Neopl malig tec conjuntivo e outr tec moles";5;4;30;-;36;7;6;15;20;68;34;22;58;23;12;92;122;45;128;351;75;64;88;23;17;48;25;1418
"C50   Neopl malig da mama";93;34;187;24;335;25;70;268;212;773;272;306;830;208;177;1065;1728;363;2299;4707;1015;673;1428;226;202;524;252;18296
"C51   Neopl malig da vulva";1;-;3;1;3;1;2;4;2;13;3;6;14;3;5;15;49;9;56;134;29;18;50;6;2;19;4;452
"C52   Neopl malig da vagina";-;-;3;-;7;-;1;3;1;7;2;2;10;3;1;7;13;2;9;29;16;5;15;1;3;6;2;148
"C53   Neopl malig do colo do utero";65;41;283;37;381;38;61;352;139;316;123;136;354;116;92;459;454;148;555;943;338;222;408;104;105;252;74;6596
"C54   Neopl malig do corpo do utero";3;4;19;3;30;4;5;26;16;85;22;26;122;32;11;77;169;44;267;565;101;40;131;25;20;51;38;1936
"C55   Neopl malig do utero porcao NE";15;7;17;5;60;12;9;26;32;73;34;54;113;24;24;116;201;35;249;450;101;53;100;40;21;47;11;1929
"C56   Neopl malig do ovario";16;3;42;6;79;4;17;55;43;183;75;56;208;58;42;216;396;78;407;1127;257;146;343;47;41;121;57;4123
"C57   Neopl malig outr org genitais femin e NE";2;1;1;-;4;-;-;5;4;14;3;3;5;4;3;16;24;3;51;76;9;11;19;1;-;2;4;265
"C58   Neopl malig da placenta";-;-;-;-;1;-;-;4;-;2;-;1;1;-;-;2;1;-;-;1;-;1;-;-;-;-;-;14
"C60   Neopl malig do penis";4;3;6;2;22;-;3;29;8;16;7;9;26;7;8;55;35;12;33;78;21;20;22;5;8;11;8;458
