Categoria_CID;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
"A60   Infecc anogenitais p/virus do herpes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"A64   Doenc sexualmente transm NE";1;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;7
"A66   Bouba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A68   Febres recorrentes";-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;3;-;-;-;-;-;-;-;6
"A69   Outr infecc p/espiroquetas";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;3
"A70   Infecc causadas p/Clamidia psittaci";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"A74   Outr doenc causadas p/Clamidias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;2
"A77   Febre maculosa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;1;-;30;-;-;-;-;-;-;-;37
"A79   Outr rickettsioses";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"A81   Infecc p/virus atipicos sist nervoso central";1;-;1;-;2;-;-;1;2;7;3;-;6;2;1;10;12;1;7;27;5;6;7;1;2;7;3;114
"A83   Encefalite p/virus transm p/mosquitos";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A85   Outr encefalites virais NCOP";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;4
"A86   Encefalite viral NE";2;1;6;1;9;3;-;3;1;-;3;2;5;2;2;16;15;5;14;35;10;10;9;1;2;5;4;166
"A87   Meningite viral";-;-;-;-;3;-;-;-;-;5;-;3;3;-;1;-;5;1;1;24;4;7;2;1;5;2;2;69
"A88   Outr infecc virais sist nervoso central NCOP";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A89   Infecc virais NE do sist nervoso central";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;2;-;-;1;-;-;-;-;-;-;-;6
"A90   Dengue";2;1;4;-;3;-;-;-;-;2;3;3;8;1;-;10;27;4;1;79;122;-;3;35;9;40;35;392
"A91   Febre hemorragica dev virus do dengue";2;5;2;-;2;-;-;4;2;10;5;2;10;2;-;26;17;6;6;60;69;-;3;6;15;25;14;293
"A92   Outr febres virais transm p/mosquitos";-;-;-;-;-;-;-;-;-;6;2;3;1;1;-;18;-;3;4;1;-;-;-;-;2;1;-;42
"A94   Febre viral transm p/artropodes NE";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;5;-;-;1;-;-;-;-;-;-;-;8
"A95   Febre amarela";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"A96   Febre hemorragica p/arenavirus";-;-;-;-;1;-;1;1;-;-;1;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;9
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;2;7;2;-;11;1;-;1;-;-;-;-;27
"A99   Febres hemorragicas virais NE";-;-;5;-;1;-;1;-;-;1;-;-;1;1;-;-;18;3;-;11;-;-;-;-;-;-;-;42
"B00   Infecc p/virus do herpes";-;-;3;-;-;1;-;-;-;1;1;1;1;-;1;5;10;4;5;31;4;6;5;-;-;6;2;87
"B01   Varicela";-;-;2;-;1;-;-;8;2;1;-;-;1;-;1;1;1;-;1;1;-;-;1;-;-;1;-;22
"B02   Herpes zoster";-;1;2;1;6;-;-;1;-;6;1;-;6;1;-;8;13;1;9;35;11;7;4;2;-;5;4;124
"B05   Sarampo";1;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;15
"B06   Rubeola";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2
"B09   Inf viral NE caract p/lesoes pele membr muco";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;4
"B15   Hepatite aguda A";1;-;1;-;-;-;-;1;2;1;-;-;3;-;-;-;3;1;2;3;2;-;-;-;-;1;-;21
"B16   Hepatite aguda B";6;9;39;4;9;-;1;7;2;2;1;3;9;3;1;8;21;6;21;19;8;14;8;3;2;2;-;208
"B17   Outr hepatites virais agudas";1;3;-;-;2;-;-;7;2;3;1;5;4;-;3;8;10;1;25;31;3;8;4;1;2;2;-;126
"B18   Hepatite viral cronica";16;16;51;7;35;3;7;32;13;17;12;13;27;16;2;63;71;28;120;406;81;42;212;15;13;28;17;1363
"B19   Hepatite viral NE";-;4;5;-;8;1;2;4;2;4;4;2;11;5;1;10;19;-;11;37;10;1;7;3;1;4;2;158
"B20   Doenc p/HIV result doenc infecc e parasit";44;16;218;23;466;27;43;267;109;267;93;118;388;106;72;405;459;171;1013;1347;317;281;729;113;109;191;72;7464
"B21   Doenc p/HIV result em neopl malig";1;-;14;-;7;2;3;1;2;8;5;7;5;3;1;5;12;5;33;71;21;23;48;1;6;6;6;296
"B22   Doenc p/HIV result em outr doenc espec";6;-;23;2;64;6;2;27;7;31;15;17;37;14;17;60;71;15;116;185;53;31;92;14;18;32;8;963
"B23   Doenc p/HIV result em outr doenc";2;2;-;-;15;2;-;8;1;6;2;1;3;1;2;5;7;1;21;15;6;3;12;2;3;2;1;123
"B24   Doenc p/HIV NE";11;3;43;12;120;21;11;61;24;52;9;22;69;14;21;131;125;29;256;341;69;61;227;15;33;31;9;1820
"B25   Doenc p/citomegalovirus";-;-;-;-;2;-;-;2;-;1;3;-;4;-;-;2;8;2;4;14;3;5;3;2;1;2;-;58
"B26   Caxumba";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;2;1;-;1;-;1;-;-;8
"B27   Mononucleose infecc";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"B33   Outr doenc p/virus NCOP";-;-;1;4;-;-;-;-;-;-;-;1;-;-;-;10;3;1;-;1;1;3;-;-;4;-;1;30
"B34   Doenc p/virus de localiz NE";1897;812;5942;807;7942;1113;1181;5203;2821;11883;3094;3541;11458;3592;2351;10974;13468;4847;32003;47596;8725;5331;9286;2249;4388;7629;3100;213233
"B37   Candidiase";-;-;1;-;3;-;-;3;-;2;2;2;8;2;1;6;9;3;6;31;6;1;6;2;1;1;1;97
"B38   Coccidioidomicose";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"B39   Histoplasmose";-;-;-;-;-;-;-;1;-;1;-;1;1;2;-;1;5;1;2;1;-;-;-;-;-;-;1;17
"B40   Blastomicose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;7;1;-;-;-;2;-;-;13
"B41   Paracoccidioidomicose";4;1;1;-;1;-;-;-;-;-;-;-;-;-;-;1;7;4;4;12;9;1;6;-;4;2;-;57
"B42   Esporotricose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3;3;1;-;-;-;-;-;-;10
"B43   Cromomicose e abscesso feomicotico";-;-;-;-;-;-;-;-;1;1;-;1;1;-;-;1;-;-;8;2;2;1;1;-;-;-;1;20
"B44   Aspergilose";1;-;1;-;-;-;-;1;-;-;1;-;4;-;1;-;8;1;4;12;5;5;6;1;-;2;2;55
"B45   Criptococose";1;-;5;1;4;2;1;2;2;2;-;1;3;1;-;6;12;1;10;42;5;7;5;1;1;4;1;120
"B46   Zigomicose";2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2;2;-;-;-;-;-;-;-;8
"B48   Outr micoses NCOP";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;3
"B49   Micose NE";-;-;-;-;2;-;-;1;-;-;1;-;3;-;1;1;5;-;6;4;-;-;2;-;-;-;-;26
"B50   Malaria p/Plasmodium falciparum";-;-;2;3;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;10
"B51   Malaria p/Plasmodium vivax";2;-;9;14;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;28
"B52   Malaria p/Plasmodium malariae";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;3
"B54   Malaria NE";-;-;-;2;2;1;-;-;-;-;-;-;1;-;-;1;2;-;-;-;-;-;-;-;1;-;-;10
"B55   Leishmaniose";1;2;1;-;20;-;13;40;11;23;3;3;14;9;2;26;24;-;-;10;3;1;2;9;11;7;3;238
"B57   Doenc de Chagas";15;2;1;1;20;2;34;5;44;56;19;38;132;88;13;571;996;7;27;949;148;8;25;27;44;664;229;4165
"B58   Toxoplasmose";-;-;1;1;4;1;-;2;1;3;-;1;7;-;-;3;7;1;18;10;3;4;6;-;2;1;2;78
"B59   Pneumocistose";-;-;-;-;2;-;-;2;1;4;1;2;-;1;-;2;8;-;13;10;1;2;-;1;1;2;1;54
"B64   Doenc NE dev protozoarios";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;2
"B65   Esquistossomose";4;-;-;-;1;-;-;3;-;5;3;17;150;48;30;57;81;9;6;54;4;2;-;-;-;3;5;482
"B66   Outr infestacoes p/trematodeos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;2
"B67   Equinococose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;-;-;4
"B69   Cisticercose";-;-;-;-;1;-;-;1;2;4;1;-;-;1;1;7;13;1;-;9;6;-;3;-;2;4;5;61
"B73   Oncocercose";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B74   Filariose";-;-;-;-;2;-;-;1;-;1;-;-;1;-;-;2;1;-;3;1;1;-;-;1;-;2;-;16
"B77   Ascaridiase";-;-;3;-;2;-;-;4;1;-;1;-;1;2;-;-;-;-;-;-;1;-;1;-;-;-;-;16
"B78   Estrongiloidiase";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2;-;-;1;-;-;-;-;5
"B80   Oxiuriase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"B81   Outr helmintiases intestinais NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"B82   Parasitose intestinal NE";-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"B86   Escabiose";-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;1;-;4;1;-;1;-;-;-;-;-;11
"B87   Miiase";1;-;2;1;2;-;1;3;-;4;1;1;1;-;1;3;5;1;9;12;4;2;4;1;1;3;1;64
"B88   Outr infestacoes";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;3
"B89   Doenc parasit NE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B90   Sequelas de tuberc";3;2;26;1;10;-;2;6;4;29;8;4;23;2;2;25;16;2;10;39;8;11;13;2;5;7;2;262
"B91   Sequelas de poliomielite";2;-;-;2;1;-;2;2;2;1;-;-;8;1;-;3;10;3;2;12;12;3;3;3;2;9;1;84
"B92   Sequelas de hanseniase";-;-;4;-;1;-;2;8;4;2;-;-;1;-;1;3;4;-;2;3;2;-;3;-;1;5;-;46
"B94   Sequelas de outr doenc infecc e parasit e NE";-;-;8;-;8;1;83;5;-;10;3;4;6;1;4;12;19;26;2;39;13;4;7;-;9;23;1;288
"B99   Doenc infecc outr e as NE";-;-;1;1;1;-;1;1;1;3;1;1;23;1;-;4;12;1;20;5;1;-;1;1;1;-;1;82
"C00   Neopl malig do labio";1;-;1;-;2;-;-;-;-;3;1;-;3;1;1;1;8;2;1;15;5;2;7;1;1;2;2;60
"C01   Neopl malig da base da lingua";1;-;2;-;7;-;3;2;7;18;7;5;11;5;4;24;58;19;47;103;26;17;23;7;4;10;9;419
"C02   Neopl malig outr partes e NE da lingua";8;2;10;3;34;5;2;14;22;55;31;33;55;18;14;92;152;33;105;349;91;37;95;14;18;29;15;1336
"C03   Neopl malig da gengiva";-;-;2;-;2;-;-;-;-;1;-;2;-;1;2;-;3;3;7;12;3;1;2;-;-;-;1;42
"C04   Neopl malig do assoalho da boca";1;-;5;1;8;1;1;7;6;28;2;4;10;6;1;19;23;10;21;52;21;13;15;2;4;6;4;271
"C05   Neopl malig do palato";-;1;5;-;3;-;1;1;3;17;4;6;15;2;1;14;20;6;23;98;18;3;16;1;5;6;8;277
"C06   Neopl malig outr partes e partes NE da boca";5;-;8;1;17;3;1;14;12;64;31;29;65;14;24;77;133;33;84;241;74;33;70;11;20;28;7;1099
"C07   Neopl malig da gland parotida";1;1;2;1;17;1;-;3;5;9;13;2;16;7;4;22;31;3;26;75;19;8;28;7;6;11;3;321
"C08   Neopl malig outr gland saliv maiores e NE";-;-;2;1;1;-;-;3;1;4;3;1;5;1;3;8;9;2;9;27;8;4;11;-;1;3;4;111
"C09   Neopl malig da amigdala";-;-;4;-;3;2;2;3;3;3;-;-;3;1;-;12;10;6;15;43;10;10;10;1;4;2;1;148
"C10   Neopl malig da orofaringe";7;4;10;6;32;6;6;45;23;88;33;17;75;29;18;169;283;66;190;477;117;87;140;33;36;91;20;2108
"C11   Neopl malig da nasofaringe";-;3;5;-;7;2;2;12;8;10;4;2;25;7;4;39;27;15;36;71;13;24;19;6;7;16;6;370
"C12   Neopl malig do seio piriforme";-;-;-;-;1;-;-;-;1;3;-;-;-;-;1;2;11;2;2;28;6;3;6;1;-;-;1;68
"C13   Neopl malig da hipofaringe";4;6;1;2;5;1;3;6;2;22;-;1;20;2;-;28;43;17;27;98;28;22;36;8;3;12;5;402
"C14   Neop mal out loc mal def labio cav oral far";7;4;5;4;18;2;3;18;6;29;23;17;62;13;4;80;112;20;52;201;75;22;63;21;11;30;4;906
"C15   Neopl malig do esofago";40;12;60;10;107;14;37;85;82;368;113;156;267;73;54;610;1282;257;588;1676;603;339;903;141;112;253;65;8307
"C16   Neopl malig do estomago";110;40;289;35;598;57;68;282;139;760;262;257;606;139;99;797;1363;297;1140;3275;891;635;863;180;177;327;164;13850
"C17   Neopl malig do intestino delgado";7;3;15;1;27;2;7;24;14;68;14;28;54;24;6;69;131;19;77;329;87;68;115;24;19;34;10;1276
"C18   Neopl malig do colon";51;11;76;12;148;2;39;130;91;326;156;118;343;81;66;482;1157;229;1462;3905;911;471;1287;154;146;403;165;12422
"C19   Neopl malig da juncao retossigmoide";11;8;10;2;25;2;5;11;16;41;30;18;62;10;13;92;220;22;185;387;89;66;101;28;21;45;24;1544
"C20   Neopl malig do reto";18;9;81;10;112;10;27;55;38;163;66;59;183;32;40;255;581;99;644;1494;338;177;382;55;66;166;79;5239
"C21   Neopl malig do anus e do canal anal";6;6;16;3;43;2;8;35;8;70;21;20;35;15;6;51;78;17;79;235;83;47;89;13;22;19;13;1040
"C22   Neopl malig figado vias biliares intra-hepat";109;43;113;15;276;29;76;316;190;414;139;222;495;146;109;730;1014;223;829;2519;699;458;891;141;120;322;126;10764
"C23   Neopl malig da vesicula biliar";7;3;14;3;34;5;9;17;13;66;32;20;83;21;14;73;131;22;92;205;50;43;73;10;7;36;25;1108
"C24   Neopl malig outr partes e NE vias biliares";7;3;35;1;46;3;5;30;37;122;61;39;137;29;30;186;253;68;231;623;141;104;228;30;21;77;33;2580
"C25   Neopl malig do pancreas";63;20;85;12;183;21;63;171;94;394;134;168;446;104;75;599;1133;220;1170;3355;864;520;1164;150;170;360;155;11893
"C26   Neopl malig outr mal def aparelho digestivo";26;4;20;4;64;13;19;71;45;120;52;111;144;29;27;295;607;66;543;1119;325;159;274;55;51;138;30;4411
"C30   Neopl malig cavidade nasal e do ouvido medio";-;-;1;-;6;1;-;3;2;9;3;-;2;6;3;4;13;1;10;22;10;3;8;1;3;4;2;117
"C31   Neopl malig dos seios da face";2;-;2;1;4;-;-;6;1;16;1;3;8;1;3;8;10;3;14;34;13;4;11;3;2;2;3;155
"C32   Neopl malig da laringe";13;15;47;5;91;11;22;63;46;217;61;114;179;52;59;282;478;93;338;1184;315;166;329;56;73;128;41;4478
"C33   Neopl malig da traqueia";-;-;-;-;3;-;-;2;2;5;1;3;6;1;1;7;9;3;12;21;10;4;8;-;-;6;-;104
"C34   Neopl malig dos bronquios e dos pulmoes";182;66;268;52;542;45;113;455;287;1190;448;477;935;258;201;1299;2916;501;2775;6873;1914;1440;3368;379;337;884;311;28516
"C37   Neopl malig do timo";-;-;-;-;3;-;1;1;-;1;-;4;3;-;1;3;12;2;4;20;5;1;4;4;1;1;3;74
"C38   Neopl malig do coracao mediastino e pleura";3;1;10;1;18;4;4;13;10;39;6;15;29;8;12;33;87;18;68;212;61;29;60;13;7;20;19;800
"C39   Neop mal out loc mal def ap resp org intrat";2;-;4;-;5;1;1;7;1;8;3;2;4;-;-;7;11;1;4;27;2;5;5;3;-;2;-;105
"C40   Neopl malig ossos/cartilag artic membros";2;-;5;-;17;-;-;10;9;13;4;16;20;7;1;16;33;10;17;35;22;9;15;2;9;5;5;282
"C41   Neopl malig ossos/cartil artic outr loc e NE";13;7;38;5;50;9;12;42;28;83;25;53;70;20;17;100;164;24;181;404;114;44;126;25;22;55;19;1750
"C43   Melanoma malig da pele";4;2;8;4;22;-;7;19;17;63;22;17;50;14;11;76;152;46;128;526;199;177;243;27;21;42;26;1923
"C44   Outr neopl malig da pele";20;7;37;2;76;4;19;45;45;161;57;89;155;36;34;193;253;60;201;496;180;107;207;23;42;83;21;2653
"C45   Mesotelioma";1;-;1;-;-;-;-;2;-;1;1;3;7;2;-;5;15;-;16;41;6;6;11;1;-;2;1;122
"C46   Sarcoma de Kaposi";-;1;1;1;3;2;1;3;1;3;2;4;2;1;1;9;5;1;4;15;3;4;5;4;1;2;3;82
"C47   Neopl malig nervos perif e sist nerv autonom";-;-;1;-;-;-;-;-;1;5;-;1;5;-;2;4;3;2;4;8;2;1;1;-;-;1;1;42
"C48   Neopl malig tec moles retro- e peritonio";3;3;16;4;32;3;12;45;14;76;28;46;71;30;15;65;178;15;126;339;85;45;101;12;19;37;25;1445
"C49   Neopl malig tec conjuntivo e outr tec moles";11;3;28;4;27;1;4;17;18;39;25;19;70;22;16;85;153;19;111;302;81;39;110;19;12;47;20;1302
"C50   Neopl malig da mama";81;26;215;25;356;24;65;262;202;721;305;298;824;214;172;1061;1797;348;2235;4532;1005;677;1388;197;196;546;260;18032
"C51   Neopl malig da vulva";-;-;4;3;10;-;3;2;1;9;6;7;15;2;4;24;64;11;50;116;27;21;41;1;3;11;5;440
"C52   Neopl malig da vagina";1;1;1;-;5;1;-;3;1;9;5;1;7;2;1;9;22;1;11;30;8;10;14;-;-;6;1;150
"C53   Neopl malig do colo do utero";53;38;278;31;363;56;58;328;134;346;115;160;320;135;85;435;456;159;556;1027;345;209;398;98;110;227;107;6627
"C54   Neopl malig do corpo do utero";7;4;26;4;22;3;4;21;10;61;17;15;111;29;12;114;194;39;282;518;125;61;129;23;18;50;45;1944
"C55   Neopl malig do utero porcao NE";10;1;14;1;61;16;8;27;14;51;17;35;97;27;31;129;201;36;275;428;109;59;89;14;9;56;8;1823
"C56   Neopl malig do ovario";16;5;53;5;66;7;16;56;54;162;61;51;203;33;35;253;413;68;365;1022;265;138;282;52;33;128;79;3921
"C57   Neopl malig outr org genitais femin e NE";-;1;2;-;2;-;-;6;1;7;2;4;11;2;-;20;32;1;43;55;7;5;15;-;2;5;1;224
"C58   Neopl malig da placenta";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;4
"C60   Neopl malig do penis";6;-;11;1;17;1;5;27;11;26;10;10;35;5;4;36;44;9;29;68;35;14;29;2;10;15;3;463
"C61   Neopl malig da prostata";99;33;174;26;404;42;108;441;217;691;292;312;811;200;178;1416;1589;337;1497;3148;993;522;1172;206;279;487;167;15841
"C62   Neopl malig dos testiculos";3;2;12;-;10;1;3;5;5;19;3;2;8;5;1;13;50;4;38;117;28;20;46;8;13;12;2;430
"C63   Neopl malig outr org genit masc e NE";-;-;-;-;1;-;-;2;2;-;-;1;3;-;-;5;3;-;6;8;1;3;2;-;-;3;-;40
"C64   Neopl malig do rim exceto pelve renal";20;2;29;11;78;6;14;50;36;114;55;44;134;30;19;145;372;59;366;935;269;155;417;49;40;121;60;3630
"C65   Neopl malig da pelve renal";-;-;3;1;-;-;-;1;3;4;2;2;5;1;-;10;7;2;2;22;2;5;13;2;1;3;-;91
"C66   Neopl malig dos ureteres";-;-;-;-;2;-;1;1;-;3;1;1;2;1;-;3;6;2;6;19;4;3;10;-;2;4;1;72
