Categoria CID-10;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
A39   Infecc meningogocica;-;1;-;-;-;-;1;-;-;2;-;1;3;-;-;-;1;1;5;11;1;2;1;-;-;-;1;31
A40   Septicemia estreptococica;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;3
A41   Outr septicemias;11;6;37;8;53;17;9;59;24;25;9;16;32;12;9;81;59;3;79;131;24;16;19;10;15;14;4;782
A46   Erisipela;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;-;-;-;-;-;-;5
A48   Outr doenc bacter NCOP;-;-;1;-;3;-;-;-;1;1;-;-;-;-;-;1;1;-;1;5;-;-;-;-;-;-;-;14
A49   Infecc bacter de localiz NE;-;-;-;-;4;-;-;3;-;2;-;-;-;-;-;5;-;-;1;1;-;-;1;-;-;-;-;17
A50   Sifilis congen;5;3;9;-;10;7;-;2;8;5;6;2;12;3;1;10;16;-;39;22;2;2;16;1;3;8;1;193
A51   Sifilis precoce;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
A68   Febres recorrentes;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A69   Outr infecc p/espiroquetas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
A77   Febre maculosa;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;5;-;-;-;-;-;-;-;8
A81   Infecc p/virus atipicos sist nervoso central;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;1;5
A85   Outr encefalites virais NCOP;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;2
A86   Encefalite viral NE;-;-;1;-;3;-;-;2;-;-;2;1;1;1;-;3;2;-;-;1;1;-;2;-;-;-;2;22
A87   Meningite viral;-;1;-;-;3;-;-;-;1;-;-;-;-;-;-;1;-;-;-;2;2;-;-;-;-;4;1;15
A90   Dengue;-;-;2;-;1;-;-;-;-;-;-;2;1;1;-;-;-;-;1;1;1;-;-;1;1;2;-;14
A91   Febre hemorragica dev virus do dengue;-;2;-;1;-;-;2;-;-;6;-;-;3;1;-;1;-;-;-;3;1;-;-;-;1;4;1;26
A92   Outr febres virais transm p/mosquitos;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;4
A94   Febre viral transm p/artropodes NE;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;1;-;-;-;-;-;-;-;-;5
A98   Outr febres hemorragicas p/virus NCOP;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
A99   Febres hemorragicas virais NE;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
B00   Infecc p/virus do herpes;-;-;2;-;-;-;-;2;2;1;-;-;-;-;-;-;1;1;1;1;-;-;-;-;-;-;-;11
B01   Varicela;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
B02   Herpes zoster;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
B05   Sarampo;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
B15   Hepatite aguda A;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;3
B17   Outr hepatites virais agudas;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
B18   Hepatite viral cronica;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;3
B19   Hepatite viral NE;-;-;1;-;-;1;-;-;-;-;-;-;3;1;-;1;1;-;2;1;1;-;-;-;1;1;-;14
B20   Doenc p/HIV result doenc infecc e parasit;1;-;4;1;7;-;-;4;2;5;1;3;-;2;2;7;2;1;8;7;1;4;5;1;1;2;-;71
B21   Doenc p/HIV result em neopl malig;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
B22   Doenc p/HIV result em outr doenc espec;-;-;-;-;2;-;-;2;1;-;-;-;1;-;-;3;-;-;1;1;-;1;-;-;-;-;-;12
B24   Doenc p/HIV NE;-;-;1;-;2;-;-;1;-;1;-;-;-;-;-;2;-;-;2;2;1;-;2;-;1;-;-;15
B25   Doenc p/citomegalovirus;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;2;-;1;8;3;-;1;-;-;-;-;18
B26   Caxumba;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
B27   Mononucleose infecc;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;3
B33   Outr doenc p/virus NCOP;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
B34   Doenc p/virus de localiz NE;17;8;68;23;54;10;11;41;11;113;12;28;68;41;51;126;91;16;117;209;90;43;59;16;29;48;12;1412
B37   Candidiase;-;-;-;-;3;-;-;1;-;-;-;-;-;-;1;4;-;-;-;12;1;1;-;1;1;-;-;25
B39   Histoplasmose;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
B41   Paracoccidioidomicose;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
B44   Aspergilose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
B45   Criptococose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;1;4
B49   Micose NE;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;4
B50   Malaria p/Plasmodium falciparum;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
B51   Malaria p/Plasmodium vivax;-;-;3;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
B54   Malaria NE;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
B55   Leishmaniose;-;-;-;1;7;-;3;9;2;3;1;-;-;-;-;3;1;-;-;2;-;-;-;3;-;1;-;36
B57   Doenc de Chagas;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
B58   Toxoplasmose;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;2;-;-;-;1;-;-;-;-;-;-;-;6
B59   Pneumocistose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2
B65   Esquistossomose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
B69   Cisticercose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
B77   Ascaridiase;-;-;-;1;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;6
B82   Parasitose intestinal NE;-;-;1;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;6
B83   Outr helmintiases;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
B86   Escabiose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;3
B87   Miiase;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
B89   Doenc parasit NE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
B90   Sequelas de tuberc;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
B91   Sequelas de poliomielite;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;2
B92   Sequelas de hanseniase;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
B94   Sequelas de outr doenc infecc e parasit e NE;-;-;-;-;1;-;-;1;-;4;1;-;-;1;-;-;-;3;2;1;1;-;-;-;-;1;-;16
B99   Doenc infecc outr e as NE;-;-;-;-;-;-;-;-;-;1;-;-;9;-;-;-;-;-;1;-;-;-;-;-;-;-;-;11
C02   Neopl malig outr partes e NE da lingua;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
C05   Neopl malig do palato;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
C06   Neopl malig outr partes e partes NE da boca;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
C10   Neopl malig da orofaringe;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2
C11   Neopl malig da nasofaringe;-;-;-;-;1;-;-;-;-;1;-;-;-;1;2;1;1;-;-;3;-;1;-;-;-;-;-;11
C12   Neopl malig do seio piriforme;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
C14   Neop mal out loc mal def labio cav oral far;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
C15   Neopl malig do esofago;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
C16   Neopl malig do estomago;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;6
C18   Neopl malig do colon;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;1;1;-;-;-;-;1;1;1;1;1;-;10
C19   Neopl malig da juncao retossigmoide;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
C20   Neopl malig do reto;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;2;-;1;-;-;-;-;-;5
C22   Neopl malig figado vias biliares intra-hepat;-;-;1;-;2;-;-;2;-;2;-;3;3;1;1;7;2;-;4;9;2;1;1;-;-;2;1;44
C24   Neopl malig outr partes e NE vias biliares;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
C25   Neopl malig do pancreas;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;1;-;1;-;-;-;-;5
C26   Neopl malig outr mal def aparelho digestivo;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;3
C30   Neopl malig cavidade nasal e do ouvido medio;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;3
C31   Neopl malig dos seios da face;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
C32   Neopl malig da laringe;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
C33   Neopl malig da traqueia;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
C34   Neopl malig dos bronquios e dos pulmoes;-;-;2;-;1;1;-;-;2;2;1;1;-;-;-;2;1;-;2;3;-;-;-;-;-;-;-;18
C38   Neopl malig do coracao mediastino e pleura;-;-;1;-;2;1;-;1;-;1;-;1;2;-;1;2;2;-;1;6;1;-;-;-;-;4;1;27
C40   Neopl malig ossos/cartilag artic membros;1;-;3;-;3;-;-;5;1;2;1;1;-;-;-;1;6;1;4;15;4;1;3;-;-;2;-;54
C41   Neopl malig ossos/cartil artic outr loc e NE;4;2;1;-;7;1;-;6;-;7;5;4;7;3;1;6;13;5;10;36;7;5;6;-;3;10;4;153
C43   Melanoma malig da pele;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;-;2;-;-;-;1;9
C44   Outr neopl malig da pele;-;-;-;-;-;-;1;-;-;-;-;1;1;1;-;1;-;-;-;2;-;-;-;-;-;-;-;7
C45   Mesotelioma;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
C46   Sarcoma de Kaposi;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
C47   Neopl malig nervos perif e sist nerv autonom;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;4;1;1;-;-;-;-;-;8
C48   Neopl malig tec moles retro- e peritonio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;-;-;4;-;-;-;-;-;1;-;10
C49   Neopl malig tec conjuntivo e outr tec moles;2;2;3;-;3;1;-;4;-;4;2;4;8;3;1;10;8;1;7;36;6;2;5;-;2;1;1;116
C50   Neopl malig da mama;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;3
C53   Neopl malig do colo do utero;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
C55   Neopl malig do utero porcao NE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
C56   Neopl malig do ovario;-;1;1;-;2;-;-;-;-;1;-;1;-;-;-;2;4;-;4;2;2;-;1;1;-;-;-;22
C61   Neopl malig da prostata;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;3
C62   Neopl malig dos testiculos;-;-;2;1;2;1;1;-;-;1;-;1;-;1;1;-;-;-;1;4;1;-;1;-;-;1;-;19
C63   Neopl malig outr org genit masc e NE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
C64   Neopl malig do rim exceto pelve renal;-;1;1;-;3;-;-;2;4;3;1;-;4;-;2;3;8;2;2;8;2;1;-;-;-;2;-;49
C69   Neopl malig do olho e anexos;-;-;3;-;1;-;-;2;-;1;-;-;1;2;-;-;2;-;2;5;1;1;1;1;-;-;-;23
C70   Neopl malig das meninges;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
C71   Neopl malig do encefalo;8;7;12;-;8;3;3;21;16;19;9;14;17;11;5;26;41;15;33;99;31;12;20;7;10;20;7;474
C72   Neop mal med esp nerv cran out sist nerv cen;2;-;1;-;9;-;1;1;-;5;2;-;19;1;3;7;13;-;9;22;7;-;7;1;3;-;3;116
C73   Neopl malig da gland tireoide;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;2
C74   Neopl malig da gland supra-renal;1;-;-;-;4;1;-;4;3;5;1;1;8;1;1;16;17;3;8;34;4;3;14;-;3;4;2;138
C75   Neopl malig outr gland endocrinas estr relac;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;2;-;-;3;1;1;1;-;-;-;-;12
C76   Neopl malig outr localiz e mal definidas;-;-;2;-;3;-;-;8;-;1;-;1;-;-;1;2;4;1;4;6;1;-;1;-;-;2;-;37
C77   Neopl malig secund e NE gangl linfaticos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
C78   Neopl malig secund org respirat e digestivos;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;5;-;-;-;3;2;-;1;-;-;-;-;13
C79   Neopl malig secund de outr localiz;-;-;-;-;1;-;-;3;-;1;-;1;-;1;-;3;2;-;-;1;-;-;-;-;-;-;-;13
C80   Neopl malig s/especificacao de localiz;-;-;1;-;-;-;-;1;-;2;-;-;2;2;-;1;4;-;3;5;1;-;2;-;-;-;-;24
C81   Doenc de Hodgkin;-;-;1;-;4;-;-;1;2;1;-;-;-;1;-;-;5;-;2;8;3;1;2;1;-;-;-;32
C83   Linfoma nao-Hodgkin difuso;1;1;2;-;2;-;-;5;-;3;-;2;3;-;1;8;3;-;5;18;3;2;6;1;5;1;1;73
C84   Linfomas de celulas T cutaneas e perifericas;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;1;-;-;3;-;-;-;-;-;-;-;7
C85   Linfoma nao-Hodgkin de outr tipos e tipo NE;-;-;-;-;5;-;-;1;2;4;-;2;3;-;1;3;4;-;1;10;3;2;1;1;1;1;-;45
C91   Leucemia linfoide;6;8;26;-;31;1;-;23;11;20;11;5;26;10;6;21;37;12;23;85;29;15;24;3;14;11;10;468
C92   Leucemia mieloide;5;1;9;-;13;-;-;7;4;7;7;9;9;5;6;10;22;3;20;55;19;4;8;6;4;4;4;241
C93   Leucemia monocitica;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
C94   Outr leucemias de celulas de tipo espec;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;3
C95   Leucemia de tipo celular NE;-;-;3;2;4;1;-;-;2;4;4;6;2;1;2;2;3;3;6;10;4;1;3;-;3;3;-;69
C96   Outr neopl mal e NE tec linf hematop e corr;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;1;1;1;-;-;-;-;8
D12   Neopl benig do colon reto canal anal e anus;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
D13   Neopl benig outr part e mal def ap digestivo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
D15   Neopl benig outr orgaos intratoracicos e NE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
D16   Neopl benig de osso e cartilagem articular;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
D18   Hemangioma e linfangioma de qualquer localiz;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;2;-;-;3;-;-;-;-;-;1;-;9
D22   Nevos melanociticos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
D27   Neopl benig do ovario;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
D32   Neopl benig das meninges;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
D33   Neopl benig encef e out part sist nerv centr;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;5
D37   Neopl comp incerto/desc cav oral e org dig;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;4
D38   Neopl comp inc/desc ouv med org resp intrat;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;3
D39   Neopl comp incerto/desconh org genitais fem;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
D40   Neopl comp incerto/desconh org genitais masc;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
D41   Neopl comp incerto/desconh orgaos urinarios;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
D42   Neopl comp incerto/desconhecido meninges;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
D43   Neopl comp inc/desc encefalo sist nerv centr;-;-;-;-;3;-;-;1;3;2;1;1;1;1;-;3;1;1;-;4;-;1;2;-;-;-;-;25
D44   Neopl comp incerto/desconh gland endocrinas;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;-;-;1;1;-;-;1;1;-;-;8
D45   Policitemia vera;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;2
D46   Sindr mielodisplasicas;1;1;-;-;1;-;-;2;-;-;1;-;2;-;-;-;-;-;1;3;-;1;-;-;-;-;1;14
D47   Out neop comp inc/des tec linf hemat tec cor;1;-;-;-;-;-;-;-;1;2;-;-;2;-;-;-;1;2;1;1;-;-;-;-;-;1;-;12
D48   Neopl comp inc/desconh outr localiz e NE;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
D50   Anemia p/defic de ferro;-;-;1;1;1;-;-;4;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;10
D51   Anemia p/defic de vitamina B12;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
D53   Outr anemias nutricionais;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;3
D56   Talassemia;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
D57   Transt falciformes;1;-;3;1;7;-;4;4;4;1;2;1;5;2;2;21;6;2;11;10;1;-;-;-;4;3;2;97
D58   Outr anemias hemoliticas hereditarias;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;3
D59   Anemia hemolitica adquir;-;-;-;1;-;-;-;1;-;-;-;-;2;-;-;-;1;1;2;2;1;1;-;1;-;1;-;14
D60   Aplasia pura da serie vermelha adquir;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
D61   Outr anemias aplasticas;-;-;7;-;2;-;-;1;-;2;1;2;9;1;1;7;8;-;2;19;3;2;1;1;2;2;-;73
D62   Anemia aguda pos-hemorragica;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;3
D64   Outr anemias;1;1;3;-;7;3;-;6;1;1;-;-;4;1;1;4;2;-;5;3;-;-;2;-;-;-;-;45
D65   Coagulacao intravascular disseminada;1;1;1;-;-;4;-;1;3;5;-;-;-;-;1;3;-;2;7;12;-;2;4;3;1;2;-;53
D66   Defic hereditaria do fator VIII;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;3
D68   Outr defeitos da coagulacao;-;-;4;-;12;-;2;6;-;2;1;1;5;2;-;2;6;-;3;8;1;1;-;-;3;-;-;59
D69   Purpura e outr afeccoes hemorragicas;-;1;-;-;12;1;-;4;2;4;-;-;-;-;1;1;5;2;4;7;-;1;2;-;-;-;1;48
D70   Agranulocitose;-;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;1;4;2;-;-;-;1;-;-;12
D71   Transt func neutrofilos polimorfonucleares;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
D72   Outr transt dos globulos brancos;-;-;-;-;-;-;-;-;1;4;-;-;-;-;-;-;-;1;-;1;2;-;-;-;1;-;-;10
D73   Doenc do baco;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
D74   Metemoglobinemia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
D75   Outr doenc sangue e orgaos hematopoeticos;1;-;-;-;1;1;-;-;4;2;-;-;-;-;-;2;1;1;1;1;1;-;-;-;-;-;-;16
D76   Alg doenc q env tec linforr e sist reticuloh;-;-;-;-;4;-;-;3;1;2;1;-;2;1;-;-;6;1;-;9;2;4;-;-;-;-;2;38
D80   Imunodefic c/predom defeitos anticorpos;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;4
D81   Defic imunitarias combinadas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;2;-;-;-;1;-;-;6
D82   Imunodeficiencia assoc c/outr defeitos major;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;4
D83   Imunodeficiencia comum variavel;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
