Categoria CID-10;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
A37   Coqueluche;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;-;1;8;1;-;3;-;-;-;-;17
A38   Escarlatina;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;3
A39   Infecc meningogocica;-;3;1;-;2;-;-;2;-;6;-;-;2;1;2;-;7;4;18;32;7;6;8;1;4;1;4;111
A40   Septicemia estreptococica;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;6
A41   Outr septicemias;15;5;57;4;60;17;1;57;27;21;13;19;26;19;21;72;91;4;103;166;27;14;28;8;28;8;6;917
A42   Actinomicose;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A44   Bartonelose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
A46   Erisipela;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
A48   Outr doenc bacter NCOP;-;-;-;-;2;-;-;1;1;-;-;-;-;-;-;-;2;2;2;4;1;-;3;1;-;1;-;20
A49   Infecc bacter de localiz NE;-;-;-;-;4;-;-;1;-;1;-;-;-;1;-;3;-;-;1;1;-;-;-;-;-;-;1;13
A50   Sifilis congen;1;1;3;-;8;3;8;4;10;7;5;1;14;3;3;10;22;2;63;22;7;4;5;1;6;5;5;223
A51   Sifilis precoce;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
A65   Sifilis nao-venerea;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A68   Febres recorrentes;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
A70   Infecc causadas p/Clamidia psittaci;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A74   Outr doenc causadas p/Clamidias;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A77   Febre maculosa;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;2;3;-;-;-;-;-;-;-;8
A81   Infecc p/virus atipicos sist nervoso central;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;2
A82   Raiva;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
A86   Encefalite viral NE;-;1;1;-;3;-;-;-;1;1;1;2;1;-;-;2;3;1;3;9;3;-;-;-;1;1;2;36
A87   Meningite viral;1;-;-;-;1;-;-;1;1;2;-;1;-;-;-;2;-;-;2;2;-;2;-;-;-;2;-;17
A90   Dengue;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;6;1;9
A91   Febre hemorragica dev virus do dengue;-;-;-;-;1;-;-;1;-;4;-;-;2;-;-;-;1;2;-;-;-;-;-;-;2;1;1;15
A92   Outr febres virais transm p/mosquitos;-;-;-;-;2;-;-;2;-;10;3;2;1;-;-;-;2;1;-;1;-;-;-;-;1;-;-;25
A94   Febre viral transm p/artropodes NE;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;5
A95   Febre amarela;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;1;4;-;-;-;-;-;-;-;-;-;9
A98   Outr febres hemorragicas p/virus NCOP;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;3
A99   Febres hemorragicas virais NE;-;-;1;-;1;-;-;-;-;-;-;-;-;2;-;-;3;-;-;-;-;-;-;-;-;-;-;7
B00   Infecc p/virus do herpes;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4;2;1;1;-;-;-;-;9
B01   Varicela;1;-;2;1;3;1;2;-;1;1;1;1;3;1;-;4;3;-;2;4;2;2;3;1;-;3;-;42
B06   Rubeola;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
B08   Outr inf virais lesoes pele membr muc NCOP;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
B15   Hepatite aguda A;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
B16   Hepatite aguda B;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
B17   Outr hepatites virais agudas;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
B18   Hepatite viral cronica;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
B19   Hepatite viral NE;-;-;1;-;1;-;-;1;-;-;-;-;3;-;-;-;1;-;1;4;-;-;-;-;-;-;-;12
B20   Doenc p/HIV result doenc infecc e parasit;-;1;5;1;12;-;1;4;-;5;3;2;8;2;1;7;4;3;20;14;4;1;16;1;3;4;2;124
B21   Doenc p/HIV result em neopl malig;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;-;-;-;-;5
B22   Doenc p/HIV result em outr doenc espec;-;-;1;-;3;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;8
B23   Doenc p/HIV result em outr doenc;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;3
B24   Doenc p/HIV NE;-;-;2;-;5;-;-;2;-;1;-;-;-;2;-;-;4;1;2;2;-;1;3;1;-;-;-;26
B25   Doenc p/citomegalovirus;-;1;-;-;2;-;-;-;-;4;1;-;-;-;-;2;1;-;-;6;3;1;-;-;1;1;2;25
B26   Caxumba;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;4
B27   Mononucleose infecc;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
B33   Outr doenc p/virus NCOP;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;5
B34   Doenc p/virus de localiz NE;-;-;-;-;1;-;-;1;-;1;-;-;1;1;1;1;-;-;-;-;-;1;-;-;-;-;-;8
B37   Candidiase;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;5;-;1;1;-;1;-;-;11
B38   Coccidioidomicose;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
B39   Histoplasmose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
B41   Paracoccidioidomicose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;3
B44   Aspergilose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
B45   Criptococose;-;-;1;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;8
B49   Micose NE;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;1;-;1;-;1;-;-;9
B50   Malaria p/Plasmodium falciparum;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
B51   Malaria p/Plasmodium vivax;-;-;2;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
B54   Malaria NE;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
B55   Leishmaniose;-;-;-;1;12;-;3;32;13;3;2;2;7;-;-;4;5;-;-;2;-;-;-;1;1;-;1;89
B57   Doenc de Chagas;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;4
B58   Toxoplasmose;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;3;2;-;10
B65   Esquistossomose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
B77   Ascaridiase;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;6
B82   Parasitose intestinal NE;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
B83   Outr helmintiases;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
B86   Escabiose;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
B88   Outr infestacoes;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
B90   Sequelas de tuberc;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;2;-;1;-;-;5
B91   Sequelas de poliomielite;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;1;1;-;-;7
B94   Sequelas de outr doenc infecc e parasit e NE;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;2;1;-;-;2;7
B99   Doenc infecc outr e as NE;1;-;-;-;-;-;-;-;-;-;-;-;7;3;-;3;-;-;2;3;-;-;-;-;-;-;-;19
C02   Neopl malig outr partes e NE da lingua;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
C05   Neopl malig do palato;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
C06   Neopl malig outr partes e partes NE da boca;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
C08   Neopl malig outr gland saliv maiores e NE;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
C10   Neopl malig da orofaringe;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
C11   Neopl malig da nasofaringe;-;-;-;-;1;-;-;-;2;-;-;1;1;-;-;2;1;-;-;3;1;-;1;-;1;-;-;14
C13   Neopl malig da hipofaringe;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
C14   Neop mal out loc mal def labio cav oral far;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;2
C15   Neopl malig do esofago;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
C16   Neopl malig do estomago;-;-;-;-;1;1;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;6
C17   Neopl malig do intestino delgado;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
C18   Neopl malig do colon;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;2;1;-;-;-;-;2;1;9
C19   Neopl malig da juncao retossigmoide;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;3
C20   Neopl malig do reto;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
C21   Neopl malig do anus e do canal anal;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
C22   Neopl malig figado vias biliares intra-hepat;-;1;1;-;2;-;1;1;-;3;1;2;1;1;-;3;2;-;4;14;4;1;2;-;1;-;3;48
C23   Neopl malig da vesicula biliar;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
C24   Neopl malig outr partes e NE vias biliares;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
C25   Neopl malig do pancreas;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;5
C26   Neopl malig outr mal def aparelho digestivo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
C32   Neopl malig da laringe;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
C34   Neopl malig dos bronquios e dos pulmoes;-;-;2;1;2;-;-;-;-;-;2;3;2;-;-;4;-;-;2;6;3;-;1;-;-;1;-;29
C38   Neopl malig do coracao mediastino e pleura;-;-;-;1;-;-;-;1;2;1;1;-;1;-;1;2;2;-;6;3;1;-;1;1;2;1;-;27
C39   Neop mal out loc mal def ap resp org intrat;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
C40   Neopl malig ossos/cartilag artic membros;-;-;-;1;1;-;-;4;1;1;-;1;3;2;-;4;6;1;6;20;4;-;3;-;-;1;3;62
C41   Neopl malig ossos/cartil artic outr loc e NE;-;-;3;-;1;-;3;5;1;8;-;2;9;1;2;9;14;1;8;31;5;8;6;1;1;4;4;127
C43   Melanoma malig da pele;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;2;-;1;-;-;6
C44   Outr neopl malig da pele;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;1;1;-;1;1;-;-;-;-;-;-;1;8
C46   Sarcoma de Kaposi;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
C47   Neopl malig nervos perif e sist nerv autonom;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;1;1;-;-;-;-;5
C48   Neopl malig tec moles retro- e peritonio;-;-;-;-;2;1;-;-;-;1;1;-;-;2;-;-;1;-;1;4;1;-;1;-;-;-;-;15
C49   Neopl malig tec conjuntivo e outr tec moles;2;2;2;-;2;1;-;4;2;4;-;-;3;-;1;9;10;1;9;17;7;7;4;1;1;5;1;95
C53   Neopl malig do colo do utero;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;1;2;-;-;-;-;-;-;-;7
C55   Neopl malig do utero porcao NE;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
C56   Neopl malig do ovario;-;-;-;-;2;-;1;2;-;-;-;1;2;-;1;2;1;1;1;9;2;-;-;1;-;-;-;26
C61   Neopl malig da prostata;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;3
C62   Neopl malig dos testiculos;-;-;1;-;3;-;-;1;-;2;1;-;2;-;1;2;4;-;1;4;-;-;4;-;-;2;-;28
C63   Neopl malig outr org genit masc e NE;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
C64   Neopl malig do rim exceto pelve renal;1;1;1;-;4;1;-;3;1;7;-;-;4;1;-;2;5;2;4;10;4;2;3;-;1;2;1;60
C65   Neopl malig da pelve renal;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
C67   Neopl malig da bexiga;-;-;1;-;1;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
C68   Neopl malig de outr orgaos urinarios e NE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;3
C69   Neopl malig do olho e anexos;-;-;-;-;1;-;-;-;4;-;-;1;2;1;-;2;1;-;1;10;-;1;-;-;1;-;-;25
C70   Neopl malig das meninges;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;2;-;-;-;-;-;-;-;5
C71   Neopl malig do encefalo;4;7;16;2;20;1;6;22;17;14;9;6;37;11;8;27;23;17;40;115;33;17;30;7;5;20;16;530
C72   Neop mal med esp nerv cran out sist nerv cen;-;-;2;-;2;-;-;2;2;13;4;2;2;4;1;7;15;1;4;27;5;6;3;-;1;2;2;107
C73   Neopl malig da gland tireoide;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
C74   Neopl malig da gland supra-renal;-;2;-;-;2;-;-;2;-;4;1;-;14;2;-;9;7;2;18;22;6;3;5;2;4;4;1;110
C75   Neopl malig outr gland endocrinas estr relac;-;-;1;-;3;-;-;-;-;1;-;-;2;-;-;-;2;-;3;3;2;-;-;-;-;-;-;17
C76   Neopl malig outr localiz e mal definidas;-;-;3;-;2;-;-;6;2;1;2;1;2;2;1;1;6;-;5;6;1;1;2;1;-;3;-;48
C77   Neopl malig secund e NE gangl linfaticos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
C78   Neopl malig secund org respirat e digestivos;-;-;-;-;-;-;-;2;-;1;1;2;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;10
C79   Neopl malig secund de outr localiz;-;-;-;-;2;-;-;-;-;3;-;-;-;2;-;7;4;-;-;3;1;-;1;-;-;-;-;23
C80   Neopl malig s/especificacao de localiz;-;-;-;-;1;-;-;3;-;-;1;-;1;3;-;-;5;-;4;9;1;1;2;-;1;-;-;32
C81   Doenc de Hodgkin;-;-;-;-;2;-;-;-;2;4;1;-;2;-;-;2;2;-;-;6;5;-;1;1;-;1;-;29
C82   Linfoma nao-Hodgkin folicular;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;3
C83   Linfoma nao-Hodgkin difuso;1;1;2;2;3;-;-;1;2;3;-;1;6;2;1;2;8;2;4;15;2;1;3;-;1;-;1;64
C84   Linfomas de celulas T cutaneas e perifericas;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2;-;-;-;-;1;-;-;5
C85   Linfoma nao-Hodgkin de outr tipos e tipo NE;-;1;1;-;2;-;-;1;1;4;2;2;2;3;2;2;3;4;1;16;1;4;1;1;4;4;-;62
C88   Doenc imunoproliferativas malignas;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
C90   Mieloma mult e neopl malig de plasmocitos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
C91   Leucemia linfoide;3;7;19;1;26;-;-;23;20;33;12;9;23;11;7;28;30;7;33;91;34;12;24;4;7;16;11;491
C92   Leucemia mieloide;2;3;1;-;14;1;1;10;6;8;7;6;10;2;-;17;22;3;22;62;12;8;11;3;2;8;2;243
C93   Leucemia monocitica;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;3
C94   Outr leucemias de celulas de tipo espec;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2;2;-;-;-;-;-;-;7
C95   Leucemia de tipo celular NE;1;-;4;-;10;-;-;8;3;8;-;-;1;4;2;7;9;-;2;10;5;3;4;2;1;3;-;87
C96   Outr neopl mal e NE tec linf hematop e corr;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;4
D13   Neopl benig outr part e mal def ap digestivo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
D15   Neopl benig outr orgaos intratoracicos e NE;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;3
D18   Hemangioma e linfangioma de qualquer localiz;-;-;1;-;1;-;-;-;-;-;1;-;-;-;2;1;1;-;2;5;1;2;-;-;-;2;1;20
D21   Outr neopl benig tec conj e outr tec moles;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
D31   Neopl benig do olho e anexos;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
D32   Neopl benig das meninges;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;2
D33   Neopl benig encef e out part sist nerv centr;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;3
D35   Neopl benig de outr gland endocrinas e NE;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
D37   Neopl comp incerto/desc cav oral e org dig;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;2
D38   Neopl comp inc/desc ouv med org resp intrat;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
D40   Neopl comp incerto/desconh org genitais masc;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
D43   Neopl comp inc/desc encefalo sist nerv centr;-;-;-;-;1;-;-;-;-;-;-;1;1;1;-;-;1;-;-;6;-;1;1;-;-;-;-;13
D44   Neopl comp incerto/desconh gland endocrinas;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;3;-;-;-;-;-;-;-;7
D45   Policitemia vera;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
D46   Sindr mielodisplasicas;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;3;1;-;3;4;1;1;2;1;1;-;-;19
D47   Out neop comp inc/des tec linf hemat tec cor;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;3;-;-;1;-;-;1;1;8
D48   Neopl comp inc/desconh outr localiz e NE;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;5
D50   Anemia p/defic de ferro;1;-;2;-;2;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9
D51   Anemia p/defic de vitamina B12;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
D53   Outr anemias nutricionais;-;-;3;-;-;-;-;2;1;-;1;-;-;-;-;2;2;-;-;1;-;-;-;-;-;-;-;12
D55   Anemia dev transt enzimaticos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;3
D56   Talassemia;-;-;-;-;1;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
D57   Transt falciformes;2;2;1;-;5;-;1;14;8;6;4;2;4;5;-;20;15;7;10;13;1;1;-;-;6;7;3;137
D58   Outr anemias hemoliticas hereditarias;-;-;1;-;1;-;1;3;1;1;-;-;-;-;-;1;-;-;2;2;-;1;-;-;-;-;2;16
D59   Anemia hemolitica adquir;-;-;2;1;5;-;-;3;-;-;2;-;1;-;-;1;-;-;5;9;-;1;1;-;-;-;-;31
D61   Outr anemias aplasticas;1;1;2;1;10;-;-;4;-;4;1;3;6;3;7;7;10;2;6;21;8;2;2;-;1;1;2;105
D62   Anemia aguda pos-hemorragica;-;-;-;-;1;-;-;2;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
D64   Outr anemias;1;-;8;-;6;-;-;10;7;3;2;3;4;2;1;9;5;-;4;5;1;3;-;-;3;4;-;81
D65   Coagulacao intravascular disseminada;1;1;1;-;5;2;-;10;-;1;2;1;3;1;1;7;3;-;7;19;-;1;2;-;1;4;-;73
D66   Defic hereditaria do fator VIII;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;6
D67   Defic hereditaria do fator IX;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
D68   Outr defeitos da coagulacao;1;-;-;-;11;-;-;6;3;1;1;-;1;3;-;2;4;-;1;12;-;-;-;-;1;1;-;48
D69   Purpura e outr afeccoes hemorragicas;-;-;-;1;4;1;-;5;2;1;2;3;18;2;1;2;2;-;4;6;3;-;1;-;1;-;-;59
