"Categoria CID-10";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"B24   Doenc p/HIV NE";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"B25   Doenc p/citomegalovirus";1;-;-;-;1;1;-;1;-;-;-;-;1;-;1;1;2;-;1;2;-;-;1;-;1;-;-;14
"B26   Caxumba";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"B34   Doenc p/virus de localiz NE";-;-;2;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;7
"B37   Candidiase";1;-;1;-;1;-;-;1;-;-;-;-;-;-;-;1;1;-;1;7;-;-;-;1;1;-;-;16
"B45   Criptococose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"B49   Micose NE";-;-;-;-;2;-;-;-;-;-;-;-;-;-;2;-;-;-;2;-;-;-;-;-;-;-;-;6
"B51   Malaria p/Plasmodium vivax";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B55   Leishmaniose";-;-;-;1;6;-;2;2;-;2;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;16
"B58   Toxoplasmose";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B77   Ascaridiase";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"B86   Escabiose";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;4
"B99   Doenc infecc outr e as NE";-;-;-;-;-;1;-;-;-;-;-;-;12;1;1;5;1;-;-;-;-;-;-;-;-;-;-;21
"C06   Neopl malig outr partes e partes NE da boca";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"C18   Neopl malig do colon";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"C22   Neopl malig figado vias biliares intra-hepat";-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;5
"C24   Neopl malig outr partes e NE vias biliares";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"C25   Neopl malig do pancreas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;2
"C38   Neopl malig do coracao mediastino e pleura";-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;4
"C41   Neopl malig ossos/cartil artic outr loc e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;3
"C49   Neopl malig tec conjuntivo e outr tec moles";-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"C64   Neopl malig do rim exceto pelve renal";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;3
"C69   Neopl malig do olho e anexos";1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"C71   Neopl malig do encefalo";-;-;-;-;2;2;-;2;2;3;-;-;1;-;-;2;3;1;-;7;1;-;1;-;-;1;1;29
"C72   Neop mal med esp nerv cran out sist nerv cen";-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;2;-;1;1;1;-;1;1;-;-;-;-;11
"C74   Neopl malig da gland supra-renal";-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;1;-;-;-;1;1;1;-;-;-;1;-;8
"C76   Neopl malig outr localiz e mal definidas";-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;5
"C80   Neopl malig s/especificacao de localiz";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"C91   Leucemia linfoide";1;-;1;-;3;-;-;-;-;-;4;-;-;1;1;1;1;1;1;2;1;1;-;-;-;-;-;19
"C92   Leucemia mieloide";-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;1;-;-;-;2;-;1;1;-;-;-;-;8
"C93   Leucemia monocitica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2
"C95   Leucemia de tipo celular NE";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;-;-;-;-;5
"D10   Neopl benig da boca e da faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"D12   Neopl benig do colon reto canal anal e anus";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"D18   Hemangioma e linfangioma de qualquer localiz";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2;2;-;1;-;1;-;1;-;-;-;-;9
"D21   Outr neopl benig tec conj e outr tec moles";-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"D22   Nevos melanociticos";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"D31   Neopl benig do olho e anexos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"D33   Neopl benig encef e out part sist nerv centr";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"D36   Neopl benig de outr localiz e de localiz NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"D38   Neopl comp inc/desc ouv med org resp intrat";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"D41   Neopl comp incerto/desconh orgaos urinarios";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"D43   Neopl comp inc/desc encefalo sist nerv centr";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2
"D46   Sindr mielodisplasicas";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"D47   Out neop comp inc/des tec linf hemat tec cor";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2
"D50   Anemia p/defic de ferro";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"D52   Anemia p/defic de folato";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"D53   Outr anemias nutricionais";-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;1;1;-;-;-;1;-;-;-;1;-;-;7
"D57   Transt falciformes";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;1;-;1;2;1;-;-;-;-;1;-;9
"D58   Outr anemias hemoliticas hereditarias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"D59   Anemia hemolitica adquir";-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;1;2;-;-;-;-;-;1;-;8
"D61   Outr anemias aplasticas";1;-;-;-;2;1;-;2;1;-;-;-;-;1;-;3;1;-;1;1;-;1;-;-;1;1;-;17
"D62   Anemia aguda pos-hemorragica";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"D64   Outr anemias";-;1;1;-;1;-;-;3;-;-;1;1;-;-;1;3;3;-;1;1;-;1;-;-;4;-;-;22
"D65   Coagulacao intravascular disseminada";-;-;1;-;1;3;-;1;1;-;-;1;2;-;-;3;1;-;5;14;-;1;-;-;-;3;-;37
"D66   Defic hereditaria do fator VIII";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"D68   Outr defeitos da coagulacao";-;-;1;-;4;1;1;1;-;-;-;1;-;-;1;5;2;1;1;7;-;-;-;1;-;-;-;27
"D69   Purpura e outr afeccoes hemorragicas";-;-;-;-;2;-;-;-;-;2;-;-;-;-;-;2;-;1;2;1;-;1;-;-;-;-;-;11
"D70   Agranulocitose";1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;3;1;-;-;-;-;-;-;8
"D71   Transt func neutrofilos polimorfonucleares";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"D72   Outr transt dos globulos brancos";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"D74   Metemoglobinemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"D75   Outr doenc sangue e orgaos hematopoeticos";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;3
"D76   Alg doenc q env tec linforr e sist reticuloh";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"D80   Imunodefic c/predom defeitos anticorpos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;2
"D81   Defic imunitarias combinadas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;3
"D82   Imunodeficiencia assoc c/outr defeitos major";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2
"D83   Imunodeficiencia comum variavel";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"D84   Outr imunodeficiencias";-;-;-;-;1;-;-;1;-;5;1;1;1;1;-;-;-;-;1;3;1;-;-;-;-;1;-;17
"D89   Outr transt q comprom mecanismo imunit NCOP";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"E00   Sindr de defic congen de iodo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"E03   Outr hipotireoidismos";-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"E10   Diabetes mellitus insulino-dependente";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;2
"E14   Diabetes mellitus NE";-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;5
"E15   Coma hipoglicemico nao-diabetico";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"E16   Outr transt da secrecao pancreatica interna";-;-;2;-;1;-;-;-;-;1;-;-;-;-;-;1;1;-;-;1;-;-;-;-;1;-;-;8
"E23   Hipofuncao e outr transt da hipofise";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"E25   Transt adrenogenitais";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;3
"E27   Outr transt da gland supra-renal";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;4
"E34   Outr transt endocrinos";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;3
"E40   Kwashiorkor";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;4
"E41   Marasmo nutricional";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;3
"E42   Kwashiorkor marasmatico";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"E43   Desnutric proteico-calorica grave NE";1;2;9;8;3;1;3;4;3;2;-;4;4;1;1;9;1;-;2;-;1;-;3;1;-;1;2;66
"E44   Desnutric proteico-calorica grau moder leve";-;2;1;-;1;-;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;8
"E46   Desnutric proteico-calorica NE";1;2;4;2;2;-;1;5;3;4;1;-;2;4;1;6;6;-;1;4;-;1;1;2;2;-;1;56
"E55   Defic de vitamina D";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"E63   Outr defic nutricionais";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"E66   Obesidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"E70   Disturbios metabolism aminoacidos aromaticos";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;3
"E71   Dist metab aminoacidos cad ramif e acid grax";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;3
"E72   Outr disturbios metabolismo de aminoacidos";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;2;2;5;-;-;1;-;-;-;-;14
"E73   Intolerancia a lactose";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"E74   Outr disturbios do metabolismo carboidratos";-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"E75   Disturb metab esfingolip e outr depos lipid";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;4
"E78   Disturbios metab lipoproteinas e out lipidem";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;3
"E80   Disturbios metab porfirina e bilirrubina";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"E83   Disturbios do metabolismo de minerais";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;3
"E84   Fibrose cistica";-;-;1;1;1;-;-;2;2;4;-;-;1;1;-;2;1;1;-;4;2;-;1;-;-;1;-;25
"E86   Deplecao de volume";-;1;1;-;5;-;-;3;2;-;1;-;1;1;-;3;1;-;4;3;-;-;-;-;1;1;-;28
"E87   Outr transt equil hidroeletr e acido-basic";3;3;1;1;4;-;-;1;2;3;-;1;-;-;-;5;3;-;2;4;-;-;-;1;5;3;-;42
"E88   Outr disturbios metabolicos";-;2;-;-;2;-;-;2;-;2;-;-;1;-;-;2;7;-;3;8;-;-;-;-;1;1;1;32
"G00   Meningite bacter NCOP";-;2;1;1;1;1;-;1;-;-;-;-;1;-;-;4;8;-;7;22;4;4;7;-;1;4;2;71
"G03   Meningite dev outr causas e a causas NE";-;-;2;-;4;-;-;-;1;1;-;1;1;1;-;-;1;-;2;5;1;-;-;1;1;-;-;22
"G04   Encefalite mielite e encefalomielite";-;-;-;-;3;-;-;3;1;-;-;-;1;-;-;1;1;-;2;2;-;-;1;-;-;-;-;15
"G06   Abscesso granuloma intracran intra-raquid";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;3
"G12   Atrofia muscular espinal e sindr correlatas";-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;1;1;-;2;3;2;-;-;-;-;-;-;13
"G21   Parkinsonismo secund";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2
"G31   Outr doenc degenerativas sist nervoso NCOP";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"G37   Outr doenc desmielinizantes sist nerv centr";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"G40   Epilepsia";-;-;3;-;1;-;-;1;-;2;-;-;-;-;1;2;2;-;1;6;1;4;3;-;-;2;-;29
"G41   Estado de mal epileptico";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;2;-;-;2;-;-;-;-;8
"G58   Outr mononeuropatias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;2
"G60   Neuropatia hereditaria e idiopatica";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"G62   Outr polineuropatias";-;-;4;-;1;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;9
"G70   Miastenia gravis outr transt neuromusculares";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;3
"G71   Transt prim dos musculos";-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;2;-;-;2;1;2;1;-;-;-;-;11
"G80   Paralisia cerebral";-;-;1;-;-;-;-;3;1;-;-;-;-;-;-;2;2;-;7;6;1;3;-;-;2;-;2;30
"G90   Transt do sist nervoso autonomo";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"G91   Hidrocefalia";1;2;-;4;4;-;2;6;1;7;1;4;1;5;1;6;3;2;8;11;-;-;1;1;1;6;1;79
"G92   Encefalopatia toxica";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"G93   Outr transt do encefalo";2;1;5;3;4;1;-;5;2;5;3;1;2;2;2;8;5;1;11;15;6;2;2;1;2;8;2;101
"G95   Outr doenc da medula espinal";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"G96   Outr transt do sist nervoso central";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"H35   Outr transt da retina";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"H66   Otite media supurativa e as NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;1;-;-;-;-;-;-;4
"I01   Febre reumatica c/compr do coracao";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"I10   Hipertensao essencial";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;5
"I12   Doenc renal hipertensiva";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"I21   Infarto agudo do miocardio";-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"I25   Doenc isquemica cronica do coracao";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;3
"I26   Embolia pulmonar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;2;-;-;-;-;1;-;-;6
"I27   Outr form de doenc cardiaca pulmonar";-;-;-;1;3;2;-;2;-;5;-;1;1;2;-;4;4;1;2;12;1;2;1;-;-;2;1;47
"I31   Outr doenc do pericardio";-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;1;-;-;-;2;-;-;-;-;1;-;-;7
"I33   Endocardite aguda e subaguda";-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;2;-;-;2;3;-;-;-;-;-;1;-;11
"I40   Miocardite aguda";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;1;-;-;1;-;-;-;5
"I42   Cardiomiopatias";2;1;1;3;7;2;1;4;-;9;3;7;3;5;2;5;8;2;9;21;5;4;5;4;-;5;1;119
"I47   Taquicardia paroxistica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;2
"I49   Outr arritmias cardiacas";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;3;-;1;1;-;-;-;-;-;-;1;9
"I50   Insuf cardiaca";-;-;-;1;4;-;-;2;4;1;2;-;-;1;1;3;-;-;2;6;2;-;-;-;1;-;-;30
"I51   Complic cardiopatias doenc cardiacas mal def";1;2;-;1;5;1;-;2;1;1;-;1;2;1;1;3;3;-;6;5;2;-;-;2;2;1;-;43
"I60   Hemorragia subaracnoide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"I61   Hemorragia intracerebral";-;-;-;-;1;-;-;1;2;3;-;-;1;1;-;3;3;-;2;2;-;-;-;2;-;1;-;22
"I62   Outr hemorragias intracranianas nao-traum";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;3;-;-;1;-;-;-;-;6
"I63   Infarto cerebral";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;4
"I64   Acid vasc cerebr NE como hemorrag isquemico";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"I67   Outr doenc cerebrovasculares";-;-;-;-;-;-;1;-;1;-;-;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;6
"I80   Flebite e tromboflebite";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;3
