Categoria_CID;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
C83   Linfoma nao-Hodgkin difuso;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
C91   Leucemia linfoide;-;-;-;-;1;-;-;-;1;-;-;1;1;-;-;-;1;-;-;2;-;-;-;-;-;-;-;7
C92   Leucemia mieloide;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;1;4;1;-;-;2;-;-;-;11
C95   Leucemia de tipo celular NE;-;-;-;-;1;-;-;-;-;1;1;1;-;1;-;-;-;1;1;3;-;-;-;-;-;-;-;10
D16   Neopl benig de osso e cartilagem articular;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
D18   Hemangioma e linfangioma de qualquer localiz;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;1;-;-;2;-;-;-;-;-;1;-;7
D33   Neopl benig encef e out part sist nerv centr;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
D38   Neopl comp inc/desc ouv med org resp intrat;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
D39   Neopl comp incerto/desconh org genitais fem;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
D43   Neopl comp inc/desc encefalo sist nerv centr;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
D46   Sindr mielodisplasicas;1;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
D50   Anemia p/defic de ferro;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;4
D51   Anemia p/defic de vitamina B12;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
D57   Transt falciformes;-;-;-;-;2;-;1;-;-;-;-;-;1;-;-;4;2;-;-;1;-;-;-;-;1;-;-;12
D58   Outr anemias hemoliticas hereditarias;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
D59   Anemia hemolitica adquir;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;3
D61   Outr anemias aplasticas;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;1;-;-;1;2;-;-;-;2;1;-;10
D64   Outr anemias;-;-;1;-;2;-;-;3;-;1;-;-;1;-;1;1;-;-;3;2;-;-;1;-;-;-;-;16
D65   Coagulacao intravascular disseminada;1;1;1;-;-;3;-;-;3;3;-;-;-;-;-;2;-;1;4;9;-;2;2;2;1;1;-;36
D68   Outr defeitos da coagulacao;-;-;1;-;4;-;-;3;-;1;1;1;2;-;-;1;5;-;3;4;-;-;-;-;-;-;-;26
D69   Purpura e outr afeccoes hemorragicas;-;-;-;-;3;1;-;1;-;-;-;-;-;-;1;-;1;-;2;2;-;1;1;-;-;-;-;13
D70   Agranulocitose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2
D73   Doenc do baco;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
D74   Metemoglobinemia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
D75   Outr doenc sangue e orgaos hematopoeticos;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;6
D76   Alg doenc q env tec linforr e sist reticuloh;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;1;-;-;1;1;1;-;-;-;-;-;7
D80   Imunodefic c/predom defeitos anticorpos;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
D81   Defic imunitarias combinadas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;3
D82   Imunodeficiencia assoc c/outr defeitos major;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;3
D83   Imunodeficiencia comum variavel;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
D84   Outr imunodeficiencias;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;2;2;3;-;1;-;-;-;1;12
E03   Outr hipotireoidismos;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
E10   Diabetes mellitus insulino-dependente;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;2
E11   Diabetes mellitus nao-insulino-dependemte;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
E14   Diabetes mellitus NE;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;1;-;-;-;-;6
E16   Outr transt da secrecao pancreatica interna;-;-;1;-;-;-;-;-;1;-;-;-;1;-;1;-;1;-;-;1;-;1;-;1;1;-;-;9
E22   Hiperfuncao da hipofise;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
E23   Hipofuncao e outr transt da hipofise;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
E24   Sindr de Cushing;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
E25   Transt adrenogenitais;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2;1;-;-;2;-;-;-;-;1;-;-;8
E27   Outr transt da gland supra-renal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
E34   Outr transt endocrinos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
E40   Kwashiorkor;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
E42   Kwashiorkor marasmatico;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
E43   Desnutric proteico-calorica grave NE;1;5;9;10;9;2;1;5;1;1;-;1;6;-;-;6;1;-;3;2;-;2;-;1;3;-;-;69
E44   Desnutric proteico-calorica grau moder leve;2;-;-;-;1;1;-;1;-;-;-;-;1;-;-;1;1;-;-;1;-;-;-;-;-;-;-;9
E45   Atraso desenv dev desnutric proteico-caloric;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
E46   Desnutric proteico-calorica NE;-;-;10;-;3;-;-;1;-;1;-;2;5;4;-;4;2;-;6;3;-;-;-;1;3;-;-;45
E70   Disturbios metabolism aminoacidos aromaticos;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;3
E71   Dist metab aminoacidos cad ramif e acid grax;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;5
E72   Outr disturbios metabolismo de aminoacidos;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;-;-;2;-;1;3;-;-;-;2;13
E73   Intolerancia a lactose;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
E74   Outr disturbios do metabolismo carboidratos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;1;4
E75   Disturb metab esfingolip e outr depos lipid;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;1;-;-;-;-;4
E77   Disturbios do metabolismo de glicoproteinas;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
E80   Disturbios metab porfirina e bilirrubina;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
E83   Disturbios do metabolismo de minerais;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;3
E84   Fibrose cistica;-;-;1;-;-;-;-;1;-;4;-;1;2;-;-;3;1;-;3;1;2;1;-;1;-;1;1;23
E86   Deplecao de volume;-;-;-;-;-;-;-;2;1;-;-;1;2;2;-;2;2;-;3;4;3;-;-;1;1;-;-;24
E87   Outr transt equil hidroeletr e acido-basic;1;5;-;1;3;-;2;4;2;4;-;-;1;1;-;4;5;-;1;9;2;-;1;1;1;-;-;48
E88   Outr disturbios metabolicos;1;1;-;-;1;-;-;1;2;-;1;1;1;1;-;3;4;-;2;6;3;1;-;1;-;1;-;31
F17   Transt mentais e comport dev uso de fumo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
F84   Transt globais do desenvolv;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
G00   Meningite bacter NCOP;-;1;1;-;2;-;-;4;-;-;2;1;1;1;1;2;4;1;3;12;1;3;3;-;1;2;1;47
G03   Meningite dev outr causas e a causas NE;-;-;3;-;1;-;-;-;1;2;1;-;1;2;1;3;2;1;1;9;3;-;-;1;-;-;-;32
G04   Encefalite mielite e encefalomielite;-;-;-;1;4;-;-;-;-;4;-;1;-;1;-;2;1;1;3;3;-;-;-;-;1;1;-;23
G06   Abscesso granuloma intracran intra-raquid;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
G09   Sequelas doenc inflam sist nerv centr;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
G12   Atrofia muscular espinal e sindr correlatas;-;1;-;-;1;1;-;1;-;-;-;-;-;-;-;-;1;-;-;3;1;-;-;-;-;-;-;9
G24   Distonia;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
G25   Outr doenc extrapiramidais transt movimentos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
G31   Outr doenc degenerativas sist nervoso NCOP;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
G37   Outr doenc desmielinizantes sist nerv centr;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
G40   Epilepsia;-;-;1;-;5;-;-;1;2;1;-;1;1;2;-;1;2;-;-;6;-;1;3;-;-;1;-;28
G41   Estado de mal epileptico;-;-;1;-;-;-;-;-;1;-;-;-;1;1;-;2;1;-;-;-;-;-;1;-;-;1;-;9
G47   Disturbios do sono;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
G52   Transt de outr nervos cranianos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
G60   Neuropatia hereditaria e idiopatica;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
G62   Outr polineuropatias;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;5
G70   Miastenia gravis outr transt neuromusculares;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;-;-;-;-;-;-;4
G71   Transt prim dos musculos;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;3
G80   Paralisia cerebral;-;-;-;-;-;-;1;3;1;2;-;-;2;1;1;-;5;1;3;2;1;-;1;1;-;2;-;27
G90   Transt do sist nervoso autonomo;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
G91   Hidrocefalia;1;1;-;-;2;1;1;4;3;3;2;2;-;3;3;4;1;1;5;7;5;-;1;-;-;3;-;53
G93   Outr transt do encefalo;1;2;4;2;6;-;1;4;1;3;-;1;2;-;5;6;7;1;8;15;5;1;1;3;-;3;1;83
G95   Outr doenc da medula espinal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
G96   Outr transt do sist nervoso central;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
H35   Outr transt da retina;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
H60   Otite externa;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
H66   Otite media supurativa e as NE;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;1;-;-;-;-;-;-;-;4
I11   Doenc cardiaca hipertensiva;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
I12   Doenc renal hipertensiva;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
I13   Doenc cardiaca e renal hipertensiva;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
I21   Infarto agudo do miocardio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
I25   Doenc isquemica cronica do coracao;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
I26   Embolia pulmonar;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;1;-;-;-;-;-;5
I27   Outr form de doenc cardiaca pulmonar;-;-;1;1;5;-;-;-;-;7;-;-;-;-;-;11;2;-;9;10;2;1;1;-;-;-;1;51
I30   Pericardite aguda;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
I31   Outr doenc do pericardio;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;3;-;1;1;-;-;-;-;-;7
I33   Endocardite aguda e subaguda;-;-;-;-;-;-;-;-;1;1;1;1;1;-;1;4;-;-;-;1;-;-;-;-;-;-;-;11
I40   Miocardite aguda;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;4;1;-;-;-;1;-;-;8
I42   Cardiomiopatias;1;-;1;3;1;-;1;2;3;2;-;-;-;3;-;4;4;3;5;16;-;4;4;1;1;1;3;63
I44   Bloqueio atrioventricular e do ramo esquerdo;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;3
I46   Parada cardiaca;-;-;-;-;2;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;7
I47   Taquicardia paroxistica;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
I49   Outr arritmias cardiacas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;2;1;-;-;1;-;-;7
I50   Insuf cardiaca;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;4;1;-;-;7;2;-;2;-;-;-;-;19
I51   Complic cardiopatias doenc cardiacas mal def;-;-;-;-;2;-;-;2;-;1;-;-;2;2;1;3;2;-;4;3;-;-;-;1;-;-;-;23
I60   Hemorragia subaracnoide;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
I61   Hemorragia intracerebral;-;-;1;-;-;-;-;-;-;1;1;3;1;-;-;-;1;-;-;-;-;-;2;-;-;1;1;12
I62   Outr hemorragias intracranianas nao-traum;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;2;-;-;1;3;-;1;-;-;-;-;1;11
I63   Infarto cerebral;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
I64   Acid vasc cerebr NE como hemorrag isquemico;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
I67   Outr doenc cerebrovasculares;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;3
I71   Aneurisma e disseccao da aorta;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
I73   Outr doenc vasculares perifericas;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
I74   Embolia e trombose arteriais;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
I77   Outr afeccoes das arterias e arteriolas;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;2
I80   Flebite e tromboflebite;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
I82   Outr embolia e trombose venosas;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;1;-;-;-;-;-;-;5
I89   Outr transt nao-infecc vasos linf gangl linf;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;2;1;-;1;-;1;-;-;-;-;1;1;9
J03   Amigdalite aguda;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
J04   Laringite e traqueite agudas;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;4
