"Categoria CID-10";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"A48   Outr doenc bacter NCOP";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"A49   Infecc bacter de localiz NE";-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;5
"A50   Sifilis congen";3;2;8;1;13;1;2;7;4;8;6;4;31;5;-;17;21;5;51;35;6;2;12;3;5;6;3;261
"A52   Sifilis tard";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"A59   Tricomoniase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"A68   Febres recorrentes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"A85   Outr encefalites virais NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"A86   Encefalite viral NE";-;-;-;-;2;-;1;-;1;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;2;-;9
"A87   Meningite viral";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;6
"A90   Dengue";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A91   Febre hemorragica dev virus do dengue";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"A92   Outr febres virais transm p/mosquitos";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;4
"A95   Febre amarela";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"A99   Febres hemorragicas virais NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"B00   Infecc p/virus do herpes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;3
"B01   Varicela";-;1;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"B05   Sarampo";-;-;2;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"B08   Outr inf virais lesoes pele membr muc NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"B15   Hepatite aguda A";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"B20   Doenc p/HIV result doenc infecc e parasit";1;-;1;-;2;1;-;-;-;2;1;-;-;-;-;2;1;-;3;1;1;1;-;-;-;-;-;17
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"B24   Doenc p/HIV NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"B25   Doenc p/citomegalovirus";-;-;1;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;2;-;9
"B26   Caxumba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"B33   Outr doenc p/virus NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;2
"B34   Doenc p/virus de localiz NE";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;2;-;-;-;-;1;-;1;-;7
"B37   Candidiase";-;-;1;-;-;1;-;1;-;-;1;-;-;-;-;3;-;-;-;6;-;-;-;-;-;1;-;14
"B49   Micose NE";-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;2;-;-;1;2;-;-;1;-;-;-;-;9
"B50   Malaria p/Plasmodium falciparum";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B51   Malaria p/Plasmodium vivax";-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"B54   Malaria NE";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B55   Leishmaniose";-;-;-;1;7;-;1;11;1;2;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;25
"B58   Toxoplasmose";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"B59   Pneumocistose";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B99   Doenc infecc outr e as NE";-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;1;-;-;-;1;-;-;-;-;-;-;-;11
"C18   Neopl malig do colon";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"C22   Neopl malig figado vias biliares intra-hepat";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"C24   Neopl malig outr partes e NE vias biliares";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"C26   Neopl malig outr mal def aparelho digestivo";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"C34   Neopl malig dos bronquios e dos pulmoes";-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"C38   Neopl malig do coracao mediastino e pleura";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2
"C39   Neop mal out loc mal def ap resp org intrat";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"C41   Neopl malig ossos/cartil artic outr loc e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;2
"C44   Outr neopl malig da pele";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"C49   Neopl malig tec conjuntivo e outr tec moles";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"C64   Neopl malig do rim exceto pelve renal";-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;4
"C69   Neopl malig do olho e anexos";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"C71   Neopl malig do encefalo";-;-;-;-;1;-;-;1;1;1;-;-;-;-;-;3;-;1;1;3;-;2;-;-;-;-;1;15
"C72   Neop mal med esp nerv cran out sist nerv cen";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;-;2;1;-;-;1;-;-;-;-;8
"C74   Neopl malig da gland supra-renal";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;1;-;-;-;-;-;-;-;5
"C76   Neopl malig outr localiz e mal definidas";-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;4
"C81   Doenc de Hodgkin";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"C85   Linfoma nao-Hodgkin de outr tipos e tipo NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"C91   Leucemia linfoide";1;-;-;-;-;-;1;1;1;1;-;-;-;-;-;1;-;1;-;2;1;-;-;1;-;1;-;12
"C92   Leucemia mieloide";-;-;-;1;1;-;-;-;-;1;2;-;-;1;2;1;1;-;-;3;1;-;-;-;1;2;1;18
"C94   Outr leucemias de celulas de tipo espec";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2
"C95   Leucemia de tipo celular NE";-;-;1;-;1;-;-;1;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;6
"D04   Carcinoma in situ da pele";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"D18   Hemangioma e linfangioma de qualquer localiz";1;-;1;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;1;2;1;-;-;-;1;-;-;10
"D33   Neopl benig encef e out part sist nerv centr";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"D43   Neopl comp inc/desc encefalo sist nerv centr";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2
"D44   Neopl comp incerto/desconh gland endocrinas";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"D47   Out neop comp inc/des tec linf hemat tec cor";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;2
"D48   Neopl comp inc/desconh outr localiz e NE";-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;4
"D50   Anemia p/defic de ferro";-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"D53   Outr anemias nutricionais";-;1;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"D57   Transt falciformes";-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;3;-;-;1;1;-;-;-;-;-;-;-;8
"D58   Outr anemias hemoliticas hereditarias";-;-;-;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;5
"D59   Anemia hemolitica adquir";-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;2;1;1;2;-;-;-;-;-;-;-;9
"D61   Outr anemias aplasticas";-;-;2;-;1;-;-;1;1;-;-;-;-;-;-;2;-;-;-;1;1;-;-;-;-;-;-;9
"D64   Outr anemias";-;-;-;-;4;-;-;3;-;1;1;-;-;1;-;4;3;-;1;2;-;-;1;-;1;-;-;22
"D65   Coagulacao intravascular disseminada";2;-;-;-;5;1;-;2;1;-;-;2;-;-;-;4;1;1;2;8;1;-;-;-;1;-;1;32
"D66   Defic hereditaria do fator VIII";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"D68   Outr defeitos da coagulacao";1;-;2;-;2;1;-;1;1;-;-;-;1;1;-;3;2;-;1;3;-;1;1;1;1;-;1;24
"D69   Purpura e outr afeccoes hemorragicas";-;-;1;-;-;-;-;-;-;1;-;-;2;-;-;2;-;-;-;3;1;1;-;-;-;-;-;11
"D70   Agranulocitose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"D72   Outr transt dos globulos brancos";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"D75   Outr doenc sangue e orgaos hematopoeticos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"D76   Alg doenc q env tec linforr e sist reticuloh";-;-;-;-;-;-;-;2;-;-;-;-;1;-;1;1;-;-;1;1;1;-;1;-;-;-;-;9
"D80   Imunodefic c/predom defeitos anticorpos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"D81   Defic imunitarias combinadas";-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;4
"D82   Imunodeficiencia assoc c/outr defeitos major";-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;4
"D84   Outr imunodeficiencias";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;4
"E03   Outr hipotireoidismos";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;3
"E05   Tireotoxicose";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"E10   Diabetes mellitus insulino-dependente";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"E11   Diabetes mellitus nao-insulino-dependemte";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"E14   Diabetes mellitus NE";-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;1;1;-;2;-;1;-;-;-;-;1;-;9
"E16   Outr transt da secrecao pancreatica interna";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;1;-;5
"E20   Hipoparatireoidismo";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"E21   Hiperparatireoid e out transt gland paratir";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"E23   Hipofuncao e outr transt da hipofise";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;3
"E25   Transt adrenogenitais";-;-;-;-;2;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"E26   Hiperaldosteronismo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"E27   Outr transt da gland supra-renal";-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;1;-;-;-;-;-;-;-;5
"E32   Doenc do timo";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"E34   Outr transt endocrinos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"E40   Kwashiorkor";-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"E41   Marasmo nutricional";-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"E43   Desnutric proteico-calorica grave NE";-;5;6;5;13;1;-;12;2;-;-;1;4;1;-;6;4;-;5;1;1;1;1;1;-;2;-;72
"E44   Desnutric proteico-calorica grau moder leve";-;-;1;-;2;-;-;1;-;-;1;-;-;-;-;2;-;-;1;2;-;-;-;-;1;-;-;11
"E45   Atraso desenv dev desnutric proteico-caloric";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"E46   Desnutric proteico-calorica NE";-;1;9;-;4;-;-;8;2;2;1;2;9;4;-;7;2;1;2;4;1;1;-;2;1;2;-;65
"E52   Defic de niacina";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"E70   Disturbios metabolism aminoacidos aromaticos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
"E71   Dist metab aminoacidos cad ramif e acid grax";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;3
"E72   Outr disturbios metabolismo de aminoacidos";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;5;-;-;-;-;-;1;-;8
"E73   Intolerancia a lactose";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"E74   Outr disturbios do metabolismo carboidratos";-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;2;2;1;-;2;-;1;-;-;10
"E75   Disturb metab esfingolip e outr depos lipid";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;1;-;-;3;-;-;-;7
"E77   Disturbios do metabolismo de glicoproteinas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"E78   Disturbios metab lipoproteinas e out lipidem";-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"E83   Disturbios do metabolismo de minerais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;2
"E84   Fibrose cistica";-;-;3;-;1;-;-;2;-;2;1;-;2;-;-;4;3;-;-;2;1;-;-;1;-;1;1;24
"E86   Deplecao de volume";-;-;2;-;3;-;-;1;2;1;1;1;2;1;-;4;4;-;4;1;1;-;-;1;1;1;-;31
"E87   Outr transt equil hidroeletr e acido-basic";2;14;4;3;2;-;-;2;-;1;-;2;-;-;-;7;4;1;1;3;1;-;2;-;2;1;-;52
"E88   Outr disturbios metabolicos";3;1;1;-;1;-;-;-;-;1;1;2;1;-;1;1;4;-;-;7;3;-;3;1;-;2;1;34
"F45   Transt somatoformes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"G00   Meningite bacter NCOP";1;2;1;-;2;-;-;1;-;6;-;2;4;1;-;11;6;1;7;24;8;1;4;2;-;1;2;87
"G03   Meningite dev outr causas e a causas NE";-;1;1;-;2;-;-;-;-;-;-;-;-;1;-;3;6;-;4;5;1;-;2;-;1;3;-;30
"G04   Encefalite mielite e encefalomielite";-;1;-;-;1;-;-;1;-;2;-;1;-;-;1;1;3;2;3;6;2;1;-;-;2;1;-;28
"G06   Abscesso granuloma intracran intra-raquid";-;-;-;-;-;-;-;1;-;-;2;-;1;1;-;-;-;-;-;1;-;-;-;1;-;-;-;7
"G08   Flebite tromboflebite intracran intra-raquid";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"G12   Atrofia muscular espinal e sindr correlatas";-;1;-;-;1;-;-;-;1;1;-;-;1;-;-;2;-;1;1;2;1;1;1;-;-;-;-;14
"G24   Distonia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;2
"G40   Epilepsia";-;-;1;-;3;-;-;1;1;1;-;1;4;-;-;3;1;1;3;3;3;1;4;3;4;-;-;38
"G41   Estado de mal epileptico";1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2;-;-;1;-;-;3;-;9
"G47   Disturbios do sono";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;3
"G58   Outr mononeuropatias";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"G60   Neuropatia hereditaria e idiopatica";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"G62   Outr polineuropatias";-;-;4;-;-;-;-;-;-;-;-;-;1;-;-;3;1;-;-;1;1;-;-;-;1;1;-;13
"G70   Miastenia gravis outr transt neuromusculares";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"G71   Transt prim dos musculos";-;1;-;1;-;-;-;-;1;1;-;-;2;-;-;-;-;-;-;-;-;2;1;-;-;1;-;10
"G72   Outr miopatias";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"G80   Paralisia cerebral";-;-;1;-;2;-;-;5;-;1;1;1;1;3;-;3;3;3;4;5;1;-;2;3;1;1;1;42
"G90   Transt do sist nervoso autonomo";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;3
"G91   Hidrocefalia";5;1;3;-;6;-;-;6;-;6;-;5;2;1;-;8;6;2;2;6;1;1;-;1;1;1;1;65
"G93   Outr transt do encefalo";1;-;8;-;6;2;2;3;3;10;1;2;5;3;1;8;3;-;16;28;2;-;1;-;1;4;-;110
"G95   Outr doenc da medula espinal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"G96   Outr transt do sist nervoso central";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;3
"G98   Outr transt do sist nervoso NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"H35   Outr transt da retina";-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"H65   Otite media nao-supurativa";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"H66   Otite media supurativa e as NE";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;3;-;-;-;-;-;-;-;-;5
"I10   Hipertensao essencial";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"I11   Doenc cardiaca hipertensiva";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"I15   Hipertensao secund";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"I26   Embolia pulmonar";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"I27   Outr form de doenc cardiaca pulmonar";-;-;1;-;4;1;-;7;-;4;-;-;2;1;1;2;3;-;5;11;-;1;-;1;-;4;-;48
"I31   Outr doenc do pericardio";-;-;-;-;-;-;-;1;-;-;-;-;1;2;-;2;-;-;-;5;-;1;-;-;-;-;-;12
"I33   Endocardite aguda e subaguda";-;-;2;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;3;3;1;1;-;-;-;1;-;14
"I40   Miocardite aguda";1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;2;1;1;4;1;-;2;-;1;1;-;17
"I42   Cardiomiopatias";-;1;1;1;7;1;-;5;1;7;4;6;4;3;-;3;8;1;10;37;3;2;1;4;1;3;-;114
"I44   Bloqueio atrioventricular e do ramo esquerdo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2
"I46   Parada cardiaca";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"I47   Taquicardia paroxistica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;2
"I48   Flutter e fibrilacao atrial";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"I49   Outr arritmias cardiacas";-;-;1;-;-;-;-;-;1;1;1;-;-;-;1;-;2;-;-;2;-;1;-;-;-;1;-;11
"I50   Insuf cardiaca";1;-;1;-;2;-;-;2;-;-;1;1;1;1;1;2;-;-;2;-;-;1;-;-;-;1;-;17
"I51   Complic cardiopatias doenc cardiacas mal def";1;-;-;-;4;2;-;7;-;-;-;-;2;1;-;9;3;-;1;2;2;1;1;-;1;-;-;37
"I60   Hemorragia subaracnoide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;1;-;-;-;-;6
"I61   Hemorragia intracerebral";-;1;2;-;2;-;-;1;-;2;1;-;1;-;-;1;1;1;1;6;-;-;2;1;-;-;-;23
"I62   Outr hemorragias intracranianas nao-traum";3;-;1;-;1;-;-;1;-;-;-;-;-;-;1;2;-;-;3;2;-;1;-;1;-;-;-;16
"I63   Infarto cerebral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;1;-;-;-;-;-;-;5
"I64   Acid vasc cerebr NE como hemorrag isquemico";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"I73   Outr doenc vasculares perifericas";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"I74   Embolia e trombose arteriais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"I80   Flebite e tromboflebite";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
